projection_mode,season,week,team,opponent_team,player_id,player_name,position,projected_team_rush_attempts,projected_player_rush_attempt_share,projected_carries_raw,calibration_bucket,calibration_multiplier,projected_carries_calibrated,projected_carries,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,IND,JAX,00-0036223,J.Taylor,RB,37.25,0.3701679383582418,13.788755703844506,12-18,1.0671184469602228,14.714235572200463,14.714235572200463,True,1,1,1,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,BAL,BUF,00-0032764,D.Henry,RB,39.5,0.3489222886175507,13.782430400393253,12-18,1.0671184469602228,14.70748572420501,14.70748572420501,True,2,1,2,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ATL,CAR,00-0038542,B.Robinson,RB,34.0,0.3928517872836483,13.356960767644042,12-18,1.0671184469602228,14.253459230476935,14.253459230476935,True,3,1,3,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PHI,KC,00-0034844,S.Barkley,RB,37.5,0.3077160846955073,11.539353176081525,7-12,1.0050494834850283,11.597620949372057,11.597620949372057,True,4,1,4,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,HOU,KC,00-0033897,J.Mixon,RB,27.25,0.3636183190110798,9.908599193051925,7-12,1.0050494834850283,9.958632501037005,9.958632501037005,True,5,1,5,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TEN,HOU,00-0035261,T.Pollard,RB,27.75,0.3562063677441082,9.884726704899002,7-12,1.0050494834850283,9.934639469149408,9.934639469149408,True,6,1,6,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DAL,WAS,00-0036139,R.Dowdle,RB,32.25,0.2934327559581283,9.463206379649638,7-12,1.0050494834850283,9.510990683979093,9.510990683979093,True,7,1,7,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TB,WAS,00-0039361,B.Irving,RB,29.75,0.2892893280150567,8.606357508447937,7-12,1.0050494834850283,8.649815168553095,8.649815168553095,True,8,1,8,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CHI,GB,00-0036275,D.Swift,RB,23.75,0.3571668500061778,8.482712687646723,7-12,1.0050494834850283,8.525546005271234,8.525546005271234,True,9,1,9,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CAR,ARI,00-0036555,C.Hubbard,RB,23.75,0.3552511676672886,8.437215232098104,7-12,1.0050494834850283,8.479818811072214,8.479818811072214,True,10,1,10,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
