Player Name,Player ID,Position,Current Team,Roster Status,Depth Chart Role,Source,Updated At,Current Team Verified,Team Verify Flag,Validation Status,Notes
J.Chase,00-0036900,WR,CIN,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
P.Nacua,00-0039075,WR,LA,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
T.Higgins,00-0036410,WR,CIN,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
B.Thomas,00-0039893,WR,JAX,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
J.Jeudy,00-0036407,WR,CLE,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
J.Jefferson,00-0036322,WR,MIN,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
A.St. Brown,00-0036963,WR,DET,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
D.Moore,00-0034827,WR,CHI,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
L.McConkey,00-0039915,WR,LAC,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
D.Adams,00-0031381,WR,NYJ,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
T.McLaurin,00-0035659,WR,WAS,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
D.Bell,00-0037257,WR,CLE,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
J.Jennings,00-0036259,WR,SF,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
M.Evans,00-0031408,WR,TB,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
M.Nabers,00-0039337,WR,NYG,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
J.Smith-Njigba,00-0038543,WR,SEA,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
J.Meyers,00-0034960,WR,LV,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
S.Diggs,00-0031588,WR,HOU,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
W.Robinson,00-0038117,WR,NYG,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
C.Godwin,00-0033921,WR,TB,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
D.Brown,00-0036626,WR,WAS,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
K.Allen,00-0030279,WR,CHI,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
T.McBride,00-0037744,TE,ARI,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
B.Johnson,00-0037382,WR,PIT,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
R.Pearsall,00-0039916,WR,SF,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
J.Addison,00-0038994,WR,MIN,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
A.Thielen,00-0030035,WR,CAR,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
G.Wilson,00-0037740,WR,NYJ,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
T.Hill,00-0033040,WR,MIA,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
D.London,00-0037238,WR,ATL,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
