Season,Week,Game Date,Away Team,Home Team,Neutral Site,Venue,Game ID,Game Status,Source,Updated At,Validation Status,Notes
2025,1,2025-09-04,DAL,PHI,False,Lincoln Financial Field,2025_01_DAL_PHI,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-05,KC,LAC,True,SoFi Stadium,2025_01_KC_LAC,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-07,TB,ATL,False,Mercedes-Benz Stadium,2025_01_TB_ATL,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-07,CIN,CLE,False,FirstEnergy Stadium,2025_01_CIN_CLE,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-07,MIA,IND,False,Lucas Oil Stadium,2025_01_MIA_IND,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-07,CAR,JAX,False,TIAA Bank Stadium,2025_01_CAR_JAX,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-07,LV,NE,False,Gillette Stadium,2025_01_LV_NE,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-07,ARI,NO,False,Mercedes-Benz Superdome,2025_01_ARI_NO,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-07,PIT,NYJ,False,MetLife Stadium,2025_01_PIT_NYJ,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-07,NYG,WAS,False,FedExField,2025_01_NYG_WAS,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-07,TEN,DEN,False,Empower Field at Mile High,2025_01_TEN_DEN,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-07,SF,SEA,False,Lumen Field,2025_01_SF_SEA,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-07,DET,GB,False,Lambeau Field,2025_01_DET_GB,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-07,HOU,LA,False,SoFi Stadium,2025_01_HOU_LA,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-07,BAL,BUF,False,New Era Field,2025_01_BAL_BUF,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
2025,1,2025-09-08,MIN,CHI,False,Soldier Field,2025_01_MIN_CHI,REG,C:\Users\tucka\OneDrive\Desktop\NFL PRop Projection\data\raw\schedules.csv,2026-07-06T10:42:18+00:00,READY,Schedule rows found for historical_test target.
