normalized_player_name,players,teams,positions,player_ids,warning
a anderson,A.Anderson,BUF|WAS,DT|OT,00-0034587|00-0037428,Duplicate normalized player name. Do not auto-match by name only.
a brewer,A.Brewer,ARI|MIA|TEN,C|LS,00-0028946|00-0036171,Duplicate normalized player name. Do not auto-match by name only.
a carter,A.Carter,LV|MIN|NYG,LB,00-0038801|00-0040677,Duplicate normalized player name. Do not auto-match by name only.
a green,A.Green,CLE|DET|MIA|NYG,CB|WR,00-0036114|00-0038627|00-0038788,Duplicate normalized player name. Do not auto-match by name only.
a jackson,A.Jackson,LAR|MIA|NYG|PHI,CB|OT,00-0033878|00-0036248|00-0036603,Duplicate normalized player name. Do not auto-match by name only.
a johnson,A.Johnson,BUF|GB|JAX|LAC|NYG,NT|RB|SAF,00-0032763|00-0038411|00-0038596|00-0040039,Duplicate normalized player name. Do not auto-match by name only.
a jones,A.Jones,BUF|GB|MIN|WAS,DE|RB,00-0033293|00-0038635,Duplicate normalized player name. Do not auto-match by name only.
a phillips,A.Phillips,NE|NYG,CB|DB,00-0031404|00-0039821,Duplicate normalized player name. Do not auto-match by name only.
a robinson,A.Robinson,CAR|DET|PIT,DE|WR,00-0031428|00-0032889,Duplicate normalized player name. Do not auto-match by name only.
a rodgers,A.Rodgers,IND|NYJ|PIT,QB|WR,00-0023459|00-0036991,Duplicate normalized player name. Do not auto-match by name only.
a smith,A.Smith,ATL|NYJ|PHI,LB|WR,00-0034430|00-0039747|00-0040582,Duplicate normalized player name. Do not auto-match by name only.
a thomas,A.Thomas,NYG|NYJ|SF,CB|OT,00-0036386|00-0037008|00-0040133,Duplicate normalized player name. Do not auto-match by name only.
aaron brewer,Aaron Brewer,ARI|MIA|TEN,LS|OL,00-0028946|00-0036171,Duplicate normalized player name. Do not auto-match by name only.
andre carter,Andre Carter|Andre Carter II,CIN|LV|MIA|MIN,DL|LB,00-0038801|00-0039551,Duplicate normalized player name. Do not auto-match by name only.
anthony brown,Anthony Brown,BAL|BUF|CAR|NYJ,DB|QB,00-0033047|00-0037175,Duplicate normalized player name. Do not auto-match by name only.
anthony johnson,Anthony Johnson|Anthony Johnson Jr.,ATL|GB|NYG,DB,00-0038411|00-0038907,Duplicate normalized player name. Do not auto-match by name only.
b allen,B.Allen,NYJ|SF|TEN,QB|RB,00-0032434|00-0039794,Duplicate normalized player name. Do not auto-match by name only.
b brown,B.Brown,CAR|CHI|LAR|NE,C|DT|RB,00-0036903|00-0037329|00-0037413,Duplicate normalized player name. Do not auto-match by name only.
b cook,B.Cook,KC|NYJ,QB|SAF,00-0037193|00-0040398,Duplicate normalized player name. Do not auto-match by name only.
b johnson,B.Johnson,DAL|DEN|IND|PHI|PIT,CB|LB|WR,00-0036870|00-0037382|00-0040027,Duplicate normalized player name. Do not auto-match by name only.
b jones,B.Jones,CHI|DEN|DET|MIA|PIT,DT|OT|SAF,00-0035841|00-0036221|00-0037081|00-0039109,Duplicate normalized player name. Do not auto-match by name only.
b murphy,B.Murphy,MIN|SEA,CB|DT,00-0035236|00-0039309,Duplicate normalized player name. Do not auto-match by name only.
b robinson,B.Robinson,ATL|SF|WAS,RB,00-0037746|00-0038542,Duplicate normalized player name. Do not auto-match by name only.
b smith,B.Smith,IND|KC|PHI,LB|OT|RB,00-0034836|00-0038113|00-0040078,Duplicate normalized player name. Do not auto-match by name only.
b young,B.Young,CAR|LAR|LV|PHI,DT|LB|QB,00-0038978|00-0039137|00-0039150,Duplicate normalized player name. Do not auto-match by name only.
brandon johnson,Brandon Johnson,DEN|PHI|PIT,DB|WR,00-0037382|00-0040027,Duplicate normalized player name. Do not auto-match by name only.
brandon smith,Brandon Smith,ARI|LV|NE|NYJ|PHI,LB|WR,00-0036775|00-0038113,Duplicate normalized player name. Do not auto-match by name only.
byron murphy,Byron Murphy|Byron Murphy II,MIN|SEA,DB|DL,00-0035236|00-0039309,Duplicate normalized player name. Do not auto-match by name only.
byron young,Byron Young,LAR|LV|PHI,DL|LB,00-0038978|00-0039137,Duplicate normalized player name. Do not auto-match by name only.
c braswell,C.Braswell,JAX|TB,CB|LB,00-0038616|00-0039902,Duplicate normalized player name. Do not auto-match by name only.
c brown,C.Brown,CIN|NYG,LB|RB,00-0036400|00-0038597,Duplicate normalized player name. Do not auto-match by name only.
c bryant,C.Bryant,ATL|SEA,CB|SAF,00-0038136|00-0040546,Duplicate normalized player name. Do not auto-match by name only.
c campbell,C.Campbell,ARI|ATL|MIA|TEN,DE|LB,00-0026190|00-0037312,Duplicate normalized player name. Do not auto-match by name only.
c davis,C.Davis,DAL|DET|NE|TB|WAS,CB|DB|DT,00-0029764|00-0031938|00-0034778,Duplicate normalized player name. Do not auto-match by name only.
c edmonds,C.Edmonds,CLE|TB|WAS,RB|SAF,00-0034681|00-0039513,Duplicate normalized player name. Do not auto-match by name only.
c harris,C.Harris,CAR|DET|HOU|PHI,LB,00-0033880|00-0037823,Duplicate normalized player name. Do not auto-match by name only.
c hubbard,C.Hubbard,CAR|DET|NYG,OT|RB,00-0029963|00-0036555,Duplicate normalized player name. Do not auto-match by name only.
c johnson,C.Johnson,CHI|CIN|JAX|MIA,DE|LB|WR,00-0036254|00-0036704|00-0039752,Duplicate normalized player name. Do not auto-match by name only.
c jones,C.Jones,BAL|CHI|CIN|KC|NYJ,DE|LB|WR,00-0032762|00-0038513|00-0038576|00-0039460,Duplicate normalized player name. Do not auto-match by name only.
c lucas,C.Lucas,CLE|DET|SF|WAS,CB|OT,00-0030725|00-0037321,Duplicate normalized player name. Do not auto-match by name only.
c mcgovern,C.McGovern,BUF|NO|NYJ,C|G,00-0033011|00-0035679,Duplicate normalized player name. Do not auto-match by name only.
c robinson,C.Robinson,CLE|HOU|JAX|MIA|MIN|SF,LB|OT,00-0033889|00-0036728|00-0039911,Duplicate normalized player name. Do not auto-match by name only.
c rogers,C.Rogers,LV|NYG,DE|G,00-0039510|00-0040150,Duplicate normalized player name. Do not auto-match by name only.
c smith,C.Smith,DET|LV|MIA,CB|DT|S,00-0038602|00-0038661|00-0039133,Duplicate normalized player name. Do not auto-match by name only.
c sutton,C.Sutton,DEN|DET|PIT,CB|WR,00-0033930|00-0034348,Duplicate normalized player name. Do not auto-match by name only.
c thomas,C.Thomas,ARI|CLE,DE|LB,00-0037815|00-0038719,Duplicate normalized player name. Do not auto-match by name only.
c ward,C.Ward,IND|SF|TEN,CB|QB,00-0034573|00-0040676,Duplicate normalized player name. Do not auto-match by name only.
c williams,C.Williams,CHI|MIA|SEA,C|QB,00-0034352|00-0039918,Duplicate normalized player name. Do not auto-match by name only.
caleb johnson,Caleb Johnson,ARI|CLE|JAX|MIA,LB,00-0036704|00-0038499,Duplicate normalized player name. Do not auto-match by name only.
cameron brown,Cameron Brown,LAC|MIA,DB|LB,00-0036400|00-0038859,Duplicate normalized player name. Do not auto-match by name only.
chris smith,Chris Smith|Chris Smith II,DET|LV|NYJ,DB|DL,00-0038602|00-0038661,Duplicate normalized player name. Do not auto-match by name only.
connor mcgovern,Connor McGovern,BUF|NYJ,OL,00-0033011|00-0035679,Duplicate normalized player name. Do not auto-match by name only.
d allen,D.Allen,LAR|PHI,TE|WR,00-0037039|00-0039074,Duplicate normalized player name. Do not auto-match by name only.
d bell,D.Bell,CLE|SEA,SAF|WR,00-0037257|00-0037332,Duplicate normalized player name. Do not auto-match by name only.
d brown,D.Brown,CAR|JAX|NYJ|WAS,DE|OT|WR,00-0026166|00-0036220|00-0036626,Duplicate normalized player name. Do not auto-match by name only.
d bush,D.Bush,CLE|KC|SEA,LB|SAF,00-0032774|00-0035525,Duplicate normalized player name. Do not auto-match by name only.
d campbell,D.Campbell,CAR|GB|SF,OLB|WR,00-0032401|00-0040629,Duplicate normalized player name. Do not auto-match by name only.
d carter,D.Carter,BUF|CHI|CLE|LV,DT|WR,00-0031763|00-0039873,Duplicate normalized player name. Do not auto-match by name only.
d clark,D.Clark,DAL|HOU|NYJ,LB|SAF,00-0037281|00-0040396,Duplicate normalized player name. Do not auto-match by name only.
d cook,D.Cook,BAL|DAL|NYJ|PIT,OT|RB,00-0033893|00-0037480,Duplicate normalized player name. Do not auto-match by name only.
d davis,D.Davis,LAC|NO,OLB|WR,00-0029607|00-0038573,Duplicate normalized player name. Do not auto-match by name only.
d hall,D.Hall,ARI|SEA,CB|LB,00-0036956|00-0039047,Duplicate normalized player name. Do not auto-match by name only.
d harmon,D.Harmon,CHI|CLE|PIT,DT|S,00-0030383|00-0040678,Duplicate normalized player name. Do not auto-match by name only.
d harris,D.Harris,ATL|BUF|DAL|NE|WAS,DE|LB|RB,00-0034612|00-0035157|00-0035657|00-0036090,Duplicate normalized player name. Do not auto-match by name only.
d hopkins,D.Hopkins,BAL|CLE|KC|TEN,K|WR,00-0030098|00-0030564,Duplicate normalized player name. Do not auto-match by name only.
d j turner,D.J. Turner,CIN|LV,DB|WR,00-0036527|00-0038549,Duplicate normalized player name. Do not auto-match by name only.
d jackson,D.Jackson,BUF|CAR|CHI|IND|LAC|MIN|NO|NYG|PIT|SF|WAS,CB|DE|G|LB|RB,00-0034356|00-0036166|00-0036493|00-0037271|00-0037826|00-0040661,Duplicate normalized player name. Do not auto-match by name only.
d james,D.James,LAC|NE,CB|FS,00-0034790|00-0039800,Duplicate normalized player name. Do not auto-match by name only.
d johnson,D.Johnson,ARI|BAL|CAR|HOU|JAX|LAR|NE|NYG|PIT|WAS,DB|DE|LB|RB|WR,00-0034071|00-0035216|00-0035628|00-0038479|00-0038535|00-0039061,Duplicate normalized player name. Do not auto-match by name only.
d jones,D.Jones,BAL|BUF|CAR|CLE|DEN|IND|NYG|SEA|TB|TEN,CB|DE|DT|LB|OT|QB,00-0031054|00-0032388|00-0033297|00-0035678|00-0035710|00-0039014|00-0040258,Duplicate normalized player name. Do not auto-match by name only.
