raw_team,canonical_team,team_name,notes
ARI,ARI,Arizona Cardinals,Built-in NFL abbreviation variant.
ARZ,ARI,Arizona Cardinals,Built-in NFL abbreviation variant.
BAL,BAL,Baltimore Ravens,Built-in NFL abbreviation variant.
BUF,BUF,Buffalo Bills,Built-in NFL abbreviation variant.
CAR,CAR,Carolina Panthers,Built-in NFL abbreviation variant.
CHI,CHI,Chicago Bears,Built-in NFL abbreviation variant.
CIN,CIN,Cincinnati Bengals,Built-in NFL abbreviation variant.
CLE,CLE,Cleveland Browns,Built-in NFL abbreviation variant.
DAL,DAL,Dallas Cowboys,Built-in NFL abbreviation variant.
DEN,DEN,Denver Broncos,Built-in NFL abbreviation variant.
DET,DET,Detroit Lions,Built-in NFL abbreviation variant.
GB,GB,Green Bay Packers,Built-in NFL abbreviation variant.
GNB,GB,Green Bay Packers,Built-in NFL abbreviation variant.
HOU,HOU,Houston Texans,Built-in NFL abbreviation variant.
IND,IND,Indianapolis Colts,Built-in NFL abbreviation variant.
JAC,JAX,Jacksonville Jaguars,Built-in NFL abbreviation variant.
JAX,JAX,Jacksonville Jaguars,Built-in NFL abbreviation variant.
KAN,KC,Kansas City Chiefs,Built-in NFL abbreviation variant.
KC,KC,Kansas City Chiefs,Built-in NFL abbreviation variant.
LA,LAR,Los Angeles Rams,Built-in NFL abbreviation variant.
LA CHARGERS,LAC,Los Angeles Chargers,Built-in NFL abbreviation variant.
LA RAMS,LAR,Los Angeles Rams,Built-in NFL abbreviation variant.
LAC,LAC,Los Angeles Chargers,Built-in NFL abbreviation variant.
LAR,LAR,Los Angeles Rams,Built-in NFL abbreviation variant.
LV,LV,Las Vegas Raiders,Built-in NFL abbreviation variant.
LVR,LV,Las Vegas Raiders,Built-in NFL abbreviation variant.
MIA,MIA,Miami Dolphins,Built-in NFL abbreviation variant.
MIN,MIN,Minnesota Vikings,Built-in NFL abbreviation variant.
NE,NE,New England Patriots,Built-in NFL abbreviation variant.
NEP,NE,New England Patriots,Built-in NFL abbreviation variant.
NO,NO,New Orleans Saints,Built-in NFL abbreviation variant.
NOR,NO,New Orleans Saints,Built-in NFL abbreviation variant.
NYG,NYG,New York Giants,Built-in NFL abbreviation variant.
NYJ,NYJ,New York Jets,Built-in NFL abbreviation variant.
OAK,LV,Las Vegas Raiders,Built-in NFL abbreviation variant.
PHI,PHI,Philadelphia Eagles,Built-in NFL abbreviation variant.
PIT,PIT,Pittsburgh Steelers,Built-in NFL abbreviation variant.
SEA,SEA,Seattle Seahawks,Built-in NFL abbreviation variant.
SF,SF,San Francisco 49ers,Built-in NFL abbreviation variant.
SFO,SF,San Francisco 49ers,Built-in NFL abbreviation variant.
TAM,TB,Tampa Bay Buccaneers,Built-in NFL abbreviation variant.
TB,TB,Tampa Bay Buccaneers,Built-in NFL abbreviation variant.
TEN,TEN,Tennessee Titans,Built-in NFL abbreviation variant.
WAS,WAS,Washington Commanders,Built-in NFL abbreviation variant.
WSH,WAS,Washington Commanders,Built-in NFL abbreviation variant.
