line,rank,player_name,team,opponent,position,calibrated_projection,model_over_probability,confidence_tier,flags,usage_status,notes
1.5,1,J.Taylor,IND,JAX,RB,14.714235572200463,0.9993570980504314,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,2,D.Henry,BAL,BUF,RB,14.70748572420501,0.9993534014893779,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,3,B.Robinson,ATL,CAR,RB,14.253459230476937,0.9990546326415269,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,4,S.Barkley,PHI,KC,RB,11.597620949372056,0.993050996021668,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,5,J.Mixon,HOU,KC,RB,9.958632501037004,0.9803300412958991,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,6,T.Pollard,TEN,HOU,RB,9.934639469149408,0.9800493221473927,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,7,R.Dowdle,DAL,WAS,RB,9.510990683979092,0.9745049606371798,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,8,B.Irving,TB,WAS,RB,8.649815168553095,0.9592257968824232,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,9,D.Swift,CHI,GB,RB,8.525546005271234,0.956505423750566,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,10,C.Hubbard,CAR,ARI,RB,8.479818811072214,0.95546826530951,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,11,J.Cook,BUF,KC,RB,8.302932565854961,0.9512672818274968,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,12,T.Etienne,JAX,IND,RB,8.221121594455049,0.9492199958708225,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,13,A.Jones,MIN,LA,RB,8.171539962267742,0.947946275927667,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,14,K.Walker,SEA,MIN,RB,7.669896167484988,0.9335872968418674,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,15,T.Allgeier,ATL,CAR,RB,7.616988634553649,0.9319094461658103,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,16,R.White,TB,WAS,RB,7.396247139956839,0.9245541662892589,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,17,J.Jacobs,GB,PHI,RB,7.395037398519733,0.9245122512547255,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,18,T.Bigsby,JAX,IND,RB,7.309434882654873,0.9215010254770694,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,19,C.Brown,CIN,DEN,RB,7.113046577439101,0.9142497610939937,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,20,J.Conner,ARI,LA,RB,6.2613690922643,0.876959429312897,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
