line,rank,player_name,team,opponent,position,calibrated_projection,model_over_probability,confidence_tier,flags,usage_status,notes
12.5,1,K.Murray,ARI,SF,QB,21.465659706411053,0.9219551113096647,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
12.5,2,B.Mayfield,TB,WAS,QB,21.056661495149434,0.9120749200335279,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
12.5,3,J.Daniels,WAS,PHI,QB,20.0856527002261,0.8849365760849013,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
12.5,4,J.Goff,DET,WAS,QB,19.938766084842687,0.880361341583379,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
12.5,5,C.Williams,CHI,GB,QB,18.486544137823397,0.8281951343376571,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
12.5,6,B.Nix,DEN,BUF,QB,17.371664965839578,0.7795533986559123,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
12.5,7,J.Burrow,CIN,PIT,QB,17.307441183790203,0.776529802565364,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
12.5,8,G.Smith,SEA,LA,QB,13.428567798106926,0.5583934234282079,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
12.5,9,L.Jackson,BAL,BUF,QB,13.41352667170872,0.557454175863441,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
12.5,10,S.Darnold,MIN,LA,QB,12.93846180494894,0.5276499036935032,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
12.5,11,R.Wilson,PIT,BAL,QB,12.463500428762382,0.4976964621758978,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
12.5,12,J.Flacco,IND,JAX,QB,12.237210779827205,0.4834196970541844,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
12.5,13,T.Tagovailoa,MIA,SF,QB,11.18951920621108,0.41788195498994984,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
12.5,14,J.Allen,BUF,KC,QB,11.187325300567217,0.41774644246590487,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
