line,rank,player_name,team,opponent,position,calibrated_projection,model_over_probability,confidence_tier,flags,usage_status,notes
149.5,1,K.Murray,ARI,SF,QB,229.2497092309337,0.8448016360394609,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,2,B.Mayfield,TB,WAS,QB,216.945150159937,0.8045206373545741,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,3,J.Goff,DET,WAS,QB,213.5060769787177,0.7922165159017394,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,4,C.Williams,CHI,GB,QB,212.1500357093226,0.7872418831008863,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,5,L.Jackson,BAL,BUF,QB,205.69426057052928,0.7626251574637463,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,6,J.Burrow,CIN,PIT,QB,204.05639122846176,0.7561398478484717,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,7,J.Daniels,WAS,PHI,QB,202.0563364931144,0.7480925103013358,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,8,B.Nix,DEN,BUF,QB,198.98340952303957,0.7354605162236025,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,9,S.Darnold,MIN,LA,QB,185.7432591878487,0.6776015123314238,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,10,G.Smith,SEA,LA,QB,180.25681764077797,0.652181411745443,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,11,R.Wilson,PIT,BAL,QB,143.24965081793786,0.468316521439355,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,12,B.Purdy,SF,DET,QB,138.9645057516334,0.4466981230743078,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,13,J.Flacco,IND,JAX,QB,138.39919520451394,0.44385653941473535,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,14,J.Allen,BUF,KC,QB,130.92414844249402,0.4066082112790068,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,15,T.Tagovailoa,MIA,SF,QB,119.82564163436837,0.35292034122412286,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,16,J.Hall,MIN,GB,QB,113.48213842127784,0.3234276237970779,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE|LOW_PASSING_YARDS_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,17,J.Herbert,LAC,HOU,QB,113.04159245034036,0.32141741616037467,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,18,D.Carr,NO,NYG,QB,112.84783224889998,0.32053493887178486,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,19,J.Love,GB,PHI,QB,111.7848286077696,0.31571164932201057,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,20,S.Clifford,GB,MIN,QB,110.91918213574608,0.311806857530603,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE|LOW_PASSING_YARDS_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,21,D.Prescott,DAL,ATL,QB,109.47728518495532,0.30534958288416747,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,22,C.Stroud,HOU,KC,QB,106.6121698933917,0.2926983026423834,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,23,J.Dobbs,SF,ARI,QB,105.86534135519236,0.28944102776758696,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,24,J.Garoppolo,LA,SEA,QB,105.66598443950376,0.2885744252803959,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
149.5,25,E.Stick,LAC,KC,QB,105.59012154107168,0.2882449714290841,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,1,K.Murray,ARI,SF,QB,229.2497092309337,0.7569102538357787,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,2,B.Mayfield,TB,WAS,QB,216.945150159937,0.7053629574429197,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,3,J.Goff,DET,WAS,QB,213.5060769787177,0.6901037324036489,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,4,C.Williams,CHI,GB,QB,212.1500357093226,0.6839936929709239,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,5,L.Jackson,BAL,BUF,QB,205.69426057052928,0.6542354001272136,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,6,J.Burrow,CIN,PIT,QB,204.05639122846176,0.6465220450768673,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,7,J.Daniels,WAS,PHI,QB,202.0563364931144,0.6370210640812441,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,8,B.Nix,DEN,BUF,QB,198.98340952303957,0.6222596559335789,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,9,S.Darnold,MIN,LA,QB,185.7432591878487,0.5568590710217038,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,10,G.Smith,SEA,LA,QB,180.25681764077797,0.5291863907271569,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,11,R.Wilson,PIT,BAL,QB,143.24965081793786,0.34550156549350386,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,12,B.Purdy,SF,DET,QB,138.9645057516334,0.32563458644722476,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,13,J.Flacco,IND,JAX,QB,138.39919520451394,0.3230487582256779,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,14,J.Allen,BUF,KC,QB,130.92414844249402,0.2896968948682064,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,15,T.Tagovailoa,MIA,SF,QB,119.82564163436837,0.24338987589117989,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,16,J.Hall,MIN,GB,QB,113.48213842127784,0.2188369952497734,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE|LOW_PASSING_YARDS_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,17,J.Herbert,LAC,HOU,QB,113.04159245034036,0.21718645116810475,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,18,D.Carr,NO,NYG,QB,112.84783224889998,0.21646279469554774,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,19,J.Love,GB,PHI,QB,111.7848286077696,0.21251758846556723,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,20,S.Clifford,GB,MIN,QB,110.91918213574608,0.20933610345321108,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE|LOW_PASSING_YARDS_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,21,D.Prescott,DAL,ATL,QB,109.47728518495532,0.20409942171070516,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,22,C.Stroud,HOU,KC,QB,106.6121698933917,0.1939283559833499,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,23,J.Dobbs,SF,ARI,QB,105.86534135519236,0.19132876962801348,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,24,J.Garoppolo,LA,SEA,QB,105.66598443950376,0.1906384693530776,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
174.5,25,E.Stick,LAC,KC,QB,105.59012154107168,0.19037618587657434,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,1,K.Murray,ARI,SF,QB,229.2497092309337,0.6474356663127762,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,2,B.Mayfield,TB,WAS,QB,216.945150159937,0.5878027883938362,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,3,J.Goff,DET,WAS,QB,213.5060769787177,0.5706984595763103,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,4,C.Williams,CHI,GB,QB,212.1500357093226,0.5639156008120138,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,5,L.Jackson,BAL,BUF,QB,205.69426057052928,0.5313997517681559,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,6,J.Burrow,CIN,PIT,QB,204.05639122846176,0.5231080779868731,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,7,J.Daniels,WAS,PHI,QB,202.0563364931144,0.5129696239358588,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,8,B.Nix,DEN,BUF,QB,198.98340952303957,0.49737862497657226,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,9,S.Darnold,MIN,LA,QB,185.7432591878487,0.43054720533633095,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,10,G.Smith,SEA,LA,QB,180.25681764077797,0.40331845597053195,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,11,R.Wilson,PIT,BAL,QB,143.24965081793786,0.23715444366145522,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,12,B.Purdy,SF,DET,QB,138.9645057516334,0.22065247678027544,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,13,J.Flacco,IND,JAX,QB,138.39919520451394,0.21852569087831852,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,14,J.Allen,BUF,KC,QB,130.92414844249402,0.19153268936477952,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,15,T.Tagovailoa,MIA,SF,QB,119.82564163436837,0.1554270520391029,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,16,J.Hall,MIN,GB,QB,113.48213842127784,0.13695144911673363,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE|LOW_PASSING_YARDS_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,17,J.Herbert,LAC,HOU,QB,113.04159245034036,0.13572655615260398,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,18,D.Carr,NO,NYG,QB,112.84783224889998,0.13519020888176447,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
199.5,19,J.Love,GB,PHI,QB,111.7848286077696,0.1322735781754124,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
