line,rank,player_name,team,opponent,position,calibrated_projection,model_over_probability,confidence_tier,flags,usage_status,notes
9.5,1,J.Chase,CIN,,WR,63.527630601869646,0.9836111807764822,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,2,P.Nacua,LA,,WR,61.22063283909125,0.9795054355037459,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,3,B.Thomas,JAX,,WR,59.96806986613655,0.9769320242416156,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,4,J.Jefferson,MIN,,WR,59.82575835858695,0.9766231279403683,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,5,J.Jeudy,CLE,,WR,57.01349086518891,0.9697685558624284,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,6,L.McConkey,LAC,,WR,55.21476608866266,0.9645665834333124,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,7,T.Higgins,CIN,,WR,55.07792274523823,0.9641424712086637,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,8,T.Shavers,BUF,,WR,54.22423265330352,0.9614018637885293,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,9,A.St. Brown,DET,,WR,53.322559832526856,0.9583243007481335,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,10,D.Adams,NYJ,,WR,53.007491833515786,0.957203165011323,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,11,Ja.Williams,DET,,WR,52.54520537492522,0.9555141728985117,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,12,J.Jennings,SF,,WR,52.41403014396274,0.9550252561225846,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,13,T.McLaurin,WAS,,WR,51.75990911384698,0.9525223016617628,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,14,N.Collins,HOU,,WR,51.36961446257547,0.9509764782543179,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,15,M.Evans,TB,,WR,51.191984280767855,0.9502597576272598,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,16,B.Aiyuk,SF,,WR,50.60863510469353,0.9478470406062576,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,17,J.Addison,MIN,,WR,49.84667597487271,0.9445566413450657,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,18,D.Moore,CHI,,WR,49.38647295358126,0.9424912699990285,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,19,A.Gould,IND,,WR,49.282563794125295,0.942016657438459,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,20,R.Pearsall,SF,,WR,48.28976342293925,0.9373253352576842,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,21,D.Brown,WAS,,WR,47.97751977738512,0.9357902623160064,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,22,J.Cowing,SF,,WR,47.7152835748244,0.9344785958807794,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,23,A.Pierce,IND,,WR,47.38884569464508,0.9328168819120135,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,24,J.Smith-Njigba,SEA,,WR,47.33157115224156,0.9325219978141792,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,25,R.Shaheed,NO,,WR,47.319085422039215,0.9324575810998701,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,1,J.Chase,CIN,,WR,63.527630601869646,0.973641457434685,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,2,P.Nacua,LA,,WR,61.22063283909125,0.9675593204848871,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,3,B.Thomas,JAX,,WR,59.96806986613655,0.9637990076316243,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,4,J.Jefferson,MIN,,WR,59.82575835858695,0.9633500594912037,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,5,J.Jeudy,CLE,,WR,57.01349086518891,0.9535055504699346,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,6,L.McConkey,LAC,,WR,55.21476608866266,0.9461660869770874,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,7,T.Higgins,CIN,,WR,55.07792274523823,0.9455721250945165,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,8,T.Shavers,BUF,,WR,54.22423265330352,0.9417488797533231,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,9,A.St. Brown,DET,,WR,53.322559832526856,0.9374848969749288,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,10,D.Adams,NYJ,,WR,53.007491833515786,0.9359388691291234,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,11,Ja.Williams,DET,,WR,52.54520537492522,0.9336168436990016,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,12,J.Jennings,SF,,WR,52.41403014396274,0.9329462309190449,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,13,T.McLaurin,WAS,,WR,51.75990911384698,0.9295236684036239,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,14,N.Collins,HOU,,WR,51.36961446257547,0.9274184711364952,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,15,M.Evans,TB,,WR,51.191984280767855,0.9264445535194978,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,16,B.Aiyuk,SF,,WR,50.60863510469353,0.9231757904100268,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,17,J.Addison,MIN,,WR,49.84667597487271,0.9187413254927093,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,18,D.Moore,CHI,,WR,49.38647295358126,0.9159710349981482,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,19,A.Gould,IND,,WR,49.282563794125295,0.9153358306250995,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,20,R.Pearsall,SF,,WR,48.28976342293925,0.9090841811185751,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,21,D.Brown,WAS,,WR,47.97751977738512,0.907048871031409,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,22,J.Cowing,SF,,WR,47.7152835748244,0.9053136627291887,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,23,A.Pierce,IND,,WR,47.38884569464508,0.9031204234566266,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,24,J.Smith-Njigba,SEA,,WR,47.33157115224156,0.9027317970830145,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,25,R.Shaheed,NO,,WR,47.319085422039215,0.9026469256995698,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,1,J.Chase,CIN,,WR,63.527630601869646,0.9590411562458665,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,2,P.Nacua,LA,,WR,61.22063283909125,0.9503759139457633,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,3,B.Thomas,JAX,,WR,59.96806986613655,0.945091573064947,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,4,J.Jefferson,MIN,,WR,59.82575835858695,0.9444640520185243,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,5,J.Jeudy,CLE,,WR,57.01349086518891,0.9308660912487774,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,6,L.McConkey,LAC,,WR,55.21476608866266,0.9209070778133048,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,7,T.Higgins,CIN,,WR,55.07792274523823,0.9201070869881609,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,8,T.Shavers,BUF,,WR,54.22423265330352,0.9149776733835224,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,9,A.St. Brown,DET,,WR,53.322559832526856,0.9092960253769522,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,10,D.Adams,NYJ,,WR,53.007491833515786,0.9072456883628934,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,11,Ja.Williams,DET,,WR,52.54520537492522,0.9041755680243679,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,12,J.Jennings,SF,,WR,52.41403014396274,0.9032909467991503,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,13,T.McLaurin,WAS,,WR,51.75990911384698,0.8987900466311405,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,14,N.Collins,HOU,,WR,51.36961446257547,0.8960328060783451,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,15,M.Evans,TB,,WR,51.191984280767855,0.8947600557576867,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,16,B.Aiyuk,SF,,WR,50.60863510469353,0.8905010339491837,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,17,J.Addison,MIN,,WR,49.84667597487271,0.884753471037874,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,18,D.Moore,CHI,,WR,49.38647295358126,0.8811799071661492,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,19,A.Gould,IND,,WR,49.282563794125295,0.8803623156799142,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,20,R.Pearsall,SF,,WR,48.28976342293925,0.8723502451670873,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,21,D.Brown,WAS,,WR,47.97751977738512,0.8697549845642536,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,22,J.Cowing,SF,,WR,47.7152835748244,0.867547342880117,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,23,A.Pierce,IND,,WR,47.38884569464508,0.8647633725816277,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,24,J.Smith-Njigba,SEA,,WR,47.33157115224156,0.8642708095655391,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
19.5,25,R.Shaheed,NO,,WR,47.319085422039215,0.8641632689297569,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
24.5,1,J.Chase,CIN,,WR,63.527630601869646,0.9384754403044786,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
