line,rank,player_name,team,opponent,position,calibrated_projection,model_over_probability,confidence_tier,flags,usage_status,notes
9.5,1,S.Barkley,PHI,KC,RB,96.84987306664549,0.9996765328822992,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,2,D.Henry,BAL,BUF,RB,89.29835670086044,0.9990841227739728,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,3,J.Taylor,IND,JAX,RB,85.87558910562794,0.9985708151018957,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,4,K.Williams,LA,PHI,RB,76.13318386342063,0.9953675022907009,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,5,B.Robinson,ATL,CAR,RB,72.12970822132897,0.9927729771921445,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,6,J.Jacobs,GB,PHI,RB,69.692593594386,0.9906285176327704,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,7,J.Gibbs,DET,WAS,RB,69.53462764660152,0.9904720417218326,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,8,J.Mixon,HOU,KC,RB,67.86122304953706,0.9886690390146169,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,9,C.Hubbard,CAR,ARI,RB,67.60016897539725,0.9883625530960367,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,10,J.Conner,ARI,LA,RB,61.15107007352755,0.97815463150947,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
