page_a,page_b,filters,entity,value_a,value_b,expected_value,difference,severity,status,likely_cause
Teams,Reports,2025/ARI/rb_carry_share/Last 4/Normal game,00-0036924,0.5645161290322581,0.5645161290322581,0.5645161290322581,0.0,No issue,PASS,
Teams,Reports,2025/ARI/rb_carry_share/Last 4/Normal game,00-0040556,0.1774193548387097,0.1774193548387097,0.1774193548387097,0.0,No issue,PASS,
Teams,Reports,2025/ARI/rb_carry_share/Last 4/Normal game,00-0038705,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.0,No issue,PASS,
Teams,Reports,2025/ARI/rb_carry_share/Last 4/Normal game,00-0037157,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.0,No issue,PASS,
Teams,Reports,2025/ARI/rb_opportunity_share/Last 4/Normal game,00-0036924,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.0,No issue,PASS,
Teams,Reports,2025/ARI/rb_opportunity_share/Last 4/Normal game,00-0038705,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.0,No issue,PASS,
Teams,Reports,2025/ARI/rb_opportunity_share/Last 4/Normal game,00-0040556,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,No issue,PASS,
Teams,Reports,2025/ARI/rb_opportunity_share/Last 4/Normal game,00-0037157,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.0,No issue,PASS,
Teams,Reports,2025/ARI/wr_target_share/Last 4/Normal game,00-0038559,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.0,No issue,PASS,
Teams,Reports,2025/ARI/wr_target_share/Last 4/Normal game,00-0039849,0.043010752688172046,0.043010752688172046,0.043010752688172046,0.0,No issue,PASS,
Teams,Reports,2025/ARI/wr_target_share/Last 4/Normal game,00-0039521,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.0,No issue,PASS,
Teams,Reports,2025/ARI/wr_target_share/Last 4/Normal game,00-0034928,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.0,No issue,PASS,
Teams,Reports,2025/ARI/wr_target_share/Last 4/Normal game,00-0038640,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.0,No issue,PASS,
Teams,Reports,2025/ARI/wr_target_share/Last 4/Normal game,00-0034487,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/ARI/wr_target_share/Last 4/Normal game,00-0035876,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/ARI/wr_target_share/Last 4/Normal game,00-0039397,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/ARI/te_target_share/Last 4/Normal game,00-0037744,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.0,No issue,PASS,
Teams,Reports,2025/ARI/te_target_share/Last 4/Normal game,00-0039041,0.15053763440860216,0.15053763440860216,0.15053763440860216,0.0,No issue,PASS,
Teams,Reports,2025/ARI/te_target_share/Last 4/Normal game,00-0036332,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,No issue,PASS,
Teams,Reports,2025/ARI/te_target_share/Last 4/Normal game,00-0033439,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.0,No issue,PASS,
Teams,Reports,2025/ATL/rb_carry_share/Last 4/Normal game,00-0038542,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.0,No issue,PASS,
Teams,Reports,2025/ATL/rb_carry_share/Last 4/Normal game,00-0037263,0.3153153153153153,0.3153153153153153,0.3153153153153153,0.0,No issue,PASS,
Teams,Reports,2025/ATL/rb_carry_share/Last 4/Normal game,00-0040547,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/ATL/rb_opportunity_share/Last 4/Normal game,00-0038542,0.7342657342657343,0.7342657342657343,0.7342657342657343,0.0,No issue,PASS,
Teams,Reports,2025/ATL/rb_opportunity_share/Last 4/Normal game,00-0037263,0.26573426573426573,0.26573426573426573,0.26573426573426573,0.0,No issue,PASS,
Teams,Reports,2025/ATL/rb_opportunity_share/Last 4/Normal game,00-0040547,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/ATL/wr_target_share/Last 4/Normal game,00-0036309,0.144,0.144,0.144,0.0,No issue,PASS,
Teams,Reports,2025/ATL/wr_target_share/Last 4/Normal game,00-0037238,0.144,0.144,0.144,0.0,No issue,PASS,
Teams,Reports,2025/ATL/wr_target_share/Last 4/Normal game,00-0035359,0.128,0.128,0.128,0.0,No issue,PASS,
Teams,Reports,2025/ATL/wr_target_share/Last 4/Normal game,00-0036463,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/ATL/wr_target_share/Last 4/Normal game,00-0037487,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/ATL/wr_target_share/Last 4/Normal game,00-0038953,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/ATL/te_target_share/Last 4/Normal game,00-0036970,0.264,0.264,0.264,0.0,No issue,PASS,
Teams,Reports,2025/ATL/te_target_share/Last 4/Normal game,00-0036429,0.024,0.024,0.024,0.0,No issue,PASS,
Teams,Reports,2025/ATL/te_target_share/Last 4/Normal game,00-0036825,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/ATL/te_target_share/Last 4/Normal game,00-0037277,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/BAL/rb_carry_share/Last 4/Normal game,00-0032764,0.6589147286821705,0.6589147286821705,0.6589147286821705,0.0,No issue,PASS,
Teams,Reports,2025/BAL/rb_carry_share/Last 4/Normal game,00-0038454,0.20155038759689922,0.20155038759689922,0.20155038759689922,0.0,No issue,PASS,
Teams,Reports,2025/BAL/rb_carry_share/Last 4/Normal game,00-0039796,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.0,No issue,PASS,
Teams,Reports,2025/BAL/rb_carry_share/Last 4/Normal game,00-0033376,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/BAL/rb_opportunity_share/Last 4/Normal game,00-0032764,0.6935483870967742,0.6935483870967742,0.6935483870967742,0.0,No issue,PASS,
Teams,Reports,2025/BAL/rb_opportunity_share/Last 4/Normal game,00-0038454,0.23387096774193547,0.23387096774193547,0.23387096774193547,0.0,No issue,PASS,
Teams,Reports,2025/BAL/rb_opportunity_share/Last 4/Normal game,00-0039796,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.0,No issue,PASS,
Teams,Reports,2025/BAL/rb_opportunity_share/Last 4/Normal game,00-0033376,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.0,No issue,PASS,
Teams,Reports,2025/BAL/wr_target_share/Last 4/Normal game,00-0039064,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,No issue,PASS,
Teams,Reports,2025/BAL/wr_target_share/Last 4/Normal game,00-0030564,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.0,No issue,PASS,
Teams,Reports,2025/BAL/wr_target_share/Last 4/Normal game,00-0036550,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,No issue,PASS,
Teams,Reports,2025/BAL/wr_target_share/Last 4/Normal game,00-0039792,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.0,No issue,PASS,
