player_id,player_name,player_display_name,position,position_group,headshot_url,season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,fantasy_points,fantasy_points_ppr,air_yards,player_week_targets,player_week_receptions,player_week_catch_rate,player_week_adot,player_week_target_share,current_season_games_entering,career_targets_entering,player_week_target_share_last_4,player_week_target_share_last_8,player_week_catch_rate_last_4,player_week_catch_rate_last_8,player_week_adot_last_4,player_week_adot_last_8,targets_last_4,targets_last_8,receptions_last_4,receptions_last_8,prior_targets,prior_season_catch_rate,sample_tier,route_position_factor,estimated_routes,route_proxy_status,position_avg_catch_rate,base_catch_rate_blend,projected_catch_rate,projected_target_share,projected_team_plays,projected_team_pass_attempts,projected_team_rush_attempts,projected_pass_rate,projected_rush_rate,projected_team_tds_placeholder,opponent_receptions_allowed_adjustment,opponent_adjustment_status,quality_flags,confidence_score,confidence_bucket,player_history_seasons,history_depth_bucket,history_start_season,history_end_season,max_training_season,max_training_week,target_season,target_week,projection_mode,leakage_check,leakage_status,career_carries_entering,career_rushing_yards_entering,career_games_entering_rush,career_ypc_entering,career_carries_per_game_entering,carries_last_4,rushing_yards_last_4,rush_games_last_4,recent_carries_per_game,recent_ypc_last_4,prior_carries,prior_season_ypc,prior_season_carries_per_game,position_avg_ypc,position_avg_carries_per_game,projected_carries,projected_yards_per_carry,rushing_yards_sample_flag,current_team_verified,team_verify_flag,team_source,team_context_note,projected_rushing_yards_raw,calibration_bucket,calibration_multiplier,projected_rushing_yards_calibrated,projected_rushing_yards,is_prop_candidate,usage_status,overall_rank,team_rank,position_rank,actual_rushing_yards,scoreable
00-0037840,K.Williams,Kyren Williams,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/smsyrjrwy0lf0hu9hkvg",2024,1,REG,,LA,DET,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,18,50,1,0,0,5,-3.4405461427002235,0,3.0,3.0,4.0,0,0,0,-6,10,0,-1.2904559600283392,0,-0.6666666666666666,0.0625,-0.0206896551724137,0.0792672413793103,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,11.4,14.4,0.0,3.0,3.0,1.0,0.0,0.0625,0,49.0,0.0767463235294117,0.0937695759134919,0.9047619047619048,0.8440476190476192,0.0,0.0,2.5,3.125,2.0,2.5,49.0,0.673469387755102,PRIOR_HEAVY,0.38,11.48501275240015,ROUTE_PROXY_UNVALIDATED,0.6888288022258241,0.7243357154976793,0.8203357154976793,0.0536738958929237,61.5,34.5,27.0,0.5609756097560976,0.4390243902439024,3.25,0.0,PLACEHOLDER_NEUTRAL_V1,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,75,Medium,2,2 seasons,2023,2024,2024,22,2025,1,historical_test,All feature history is before target season/week.,PASS,241.0,1205.0,13.0,5.0,18.53846153846154,82.0,404.0,4.0,20.5,4.926829268292683,241.0,5.0,18.53846153846154,4.262463400351357,7.673756740563212,15.822285338986958,4.741862190122975,,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",75.02709661027934,60+,1.0733277530543663,80.528665022904,75.02709661027934,True,HISTORICAL TEST ONLY,1,1,1,50,True
00-0033553,J.Conner,James Conner,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/g5yjordcmt76j0saytzb",2024,1,REG,,ARI,BUF,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,16,50,1,0,0,3,-2.956040100313176,1,3.0,4.0,33.0,0,0,0,-10,37,1,1.6488681781338528,0,-3.3,0.1290322580645161,-0.0523560209424083,0.1568991724370883,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,16.3,19.3,0.0,4.0,3.0,0.75,0.0,0.1290322580645161,0,33.0,0.0960679006387688,0.0860390954740798,1.0,0.780952380952381,0.0,0.0,3.25,2.875,3.25,2.375,33.0,0.8181818181818182,PRIOR_HEAVY,0.38,13.780801298442022,ROUTE_PROXY_UNVALIDATED,0.6888288022258241,0.8157395497586564,0.9117395497586565,0.058504290170263,69.0,37.0,32.0,0.5362318840579711,0.463768115942029,3.25,0.0,PLACEHOLDER_NEUTRAL_V1,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,75,Medium,2,2 seasons,2023,2024,2024,22,2025,1,historical_test,All feature history is before target season/week.,PASS,208.0,1040.0,13.0,5.0,16.0,79.0,409.0,4.0,19.75,5.177215189873418,208.0,5.0,16.0,4.262463400351357,7.673756740563212,13.918439185140803,4.741862190122975,,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",65.99932051754521,60+,1.0733277530543663,70.83890239421174,65.99932051754521,True,HISTORICAL TEST ONLY,2,1,2,50,True
00-0036223,J.Taylor,Jonathan Taylor,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk",2024,1,REG,,IND,HOU,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,16,48,1,0,0,4,-3.4469076522071846,0,0.0,0.0,0.0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,10.8,10.8,0.0,0.0,0.0,,,0.0,0,23.0,0.0413819875776397,0.0808465728588726,0.6666666666666666,0.75,0.0,0.0,1.0,2.0,0.75,1.625,23.0,0.8260869565217391,PRIOR_HEAVY,0.38,7.5779365298008035,ROUTE_PROXY_UNVALIDATED,0.6888288022258241,0.7530254522619502,0.8490254522619501,0.0448328119049807,62.25,31.0,31.25,0.4979919678714859,0.5020080321285141,1.75,0.0,PLACEHOLDER_NEUTRAL_V1,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,75,Medium,2,2 seasons,2023,2024,2024,22,2025,1,historical_test,All feature history is before target season/week.,PASS,169.0,741.0,10.0,4.384615384615385,16.9,84.0,418.0,4.0,21.0,4.976190476190476,169.0,4.384615384615385,16.9,4.262463400351357,7.673756740563212,14.593439185140802,4.341862190122975,,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",63.36270182182189,60+,1.0733277530543663,68.00894637386989,63.36270182182189,True,HISTORICAL TEST ONLY,3,1,3,48,True
00-0034844,S.Barkley,Saquon Barkley,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ern1nbhivkmwkg82c7v1",2024,1,REG,,PHI,GB,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,24,109,2,0,0,6,0.0197511757723987,0,2.0,2.0,23.0,1,0,0,20,3,1,3.153489251038991,0,1.15,0.0689655172413793,0.0843881856540084,0.1625200058198748,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,31.200000000000003,33.2,0.0,2.0,2.0,1.0,0.0,0.0689655172413793,0,60.0,0.1243479763700352,0.141260526646556,0.75,0.6520833333333333,0.0,0.0,4.0,3.875,2.5,2.375,60.0,0.6833333333333333,PRIOR_HEAVY,0.38,15.042891070075807,ROUTE_PROXY_UNVALIDATED,0.6888288022258241,0.6983153073344139,0.7943153073344139,0.0655743091030796,60.0,35.5,24.5,0.5916666666666667,0.4083333333333333,2.25,0.0,PLACEHOLDER_NEUTRAL_V1,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,75,Medium,2,2 seasons,2023,2024,2024,22,2025,1,historical_test,All feature history is before target season/week.,PASS,247.0,962.0,14.0,3.8947368421052633,17.642857142857142,62.0,179.0,4.0,15.5,2.8870967741935485,247.0,3.8947368421052633,17.642857142857142,4.262463400351357,7.673756740563212,15.15058204228366,4.023441137491396,,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",60.95747504586249,60+,1.0733277530543663,65.42734972284319,60.95747504586249,True,HISTORICAL TEST ONLY,4,1,4,109,True
00-0035685,D.Montgomery,David Montgomery,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xeb6fq4zimgkksq7uari",2024,1,REG,,DET,LA,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,17,91,1,0,0,6,6.476436073542573,0,1.0,1.0,2.0,0,0,0,2,0,0,-0.6173636568710208,0,1.0,0.0357142857142857,0.0106951871657754,0.0610580595874713,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,15.3,16.3,0.0,1.0,1.0,1.0,0.0,0.0357142857142857,0,31.0,0.0459249084249084,0.0560271223874165,0.9166666666666666,0.7738095238095238,0.0,0.0,1.75,2.0,1.5,1.625,31.0,0.7096774193548387,PRIOR_HEAVY,0.38,9.721307977269284,ROUTE_PROXY_UNVALIDATED,0.6888288022258241,0.7448206836785,0.8408206836784999,0.0459685421167979,63.5,37.75,25.75,0.594488188976378,0.405511811023622,3.75,0.0,PLACEHOLDER_NEUTRAL_V1,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,75,Medium,2,2 seasons,2023,2024,2024,22,2025,1,historical_test,All feature history is before target season/week.,PASS,258.0,1198.0,17.0,4.6434108527131785,15.176470588235292,49.0,223.0,4.0,12.25,4.551020408163265,258.0,4.6434108527131785,15.176470588235292,4.262463400351357,7.673756740563212,13.300792126317274,4.5100792443865405,,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",59.98762650280346,40-60,1.024818045751556,61.476402161877296,59.98762650280346,True,HISTORICAL TEST ONLY,5,1,5,91,True
00-0032764,D.Henry,Derrick Henry,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jxtikemnvpkw9r0ex2wv",2024,1,REG,,BAL,KC,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,13,46,1,0,0,5,2.1925126482965425,0,0.0,2.0,0.0,0,0,0,-10,0,0,-1.4453137295786291,0,-0.0,0.05,-0.0374531835205992,0.0487827715355805,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,10.6,10.6,0.0,2.0,0.0,0.0,0.0,0.05,0,36.0,0.0584615384615384,0.0677161128631717,0.6666666666666666,0.5714285714285714,0.0,0.0,1.5,1.75,1.25,1.125,36.0,0.7777777777777778,PRIOR_HEAVY,0.38,8.789093722423177,ROUTE_PROXY_UNVALIDATED,0.6888288022258241,0.7288708628899695,0.8248708628899695,0.0491026996259554,59.0,30.25,28.75,0.5127118644067796,0.4872881355932203,3.75,0.0,PLACEHOLDER_NEUTRAL_V1,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,75,Medium,2,2 seasons,2023,2024,2024,22,2025,1,historical_test,All feature history is before target season/week.,PASS,280.0,1167.0,17.0,4.167857142857143,16.470588235294116,66.0,292.0,4.0,16.5,4.424242424242424,280.0,4.167857142857143,16.470588235294116,4.262463400351357,7.673756740563212,14.27138036161139,4.200969332980118,,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",59.95363123842416,40-60,1.024818045751556,61.44156320147129,59.95363123842416,True,HISTORICAL TEST ONLY,6,1,6,46,True
00-0037197,I.Pacheco,Isiah Pacheco,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tqshteijt4xhgk2ei9sx",2024,1,REG,,KC,BAL,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,15,45,1,0,0,2,-3.036675275856396,0,2.0,3.0,33.0,0,0,0,4,40,2,1.7753006329294294,0,8.25,0.1111111111111111,0.0242424242424242,0.1836363636363636,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,13.8,15.8,0.0,3.0,2.0,0.6666666666666666,0.0,0.1111111111111111,0,61.0,0.0827497665732959,0.1210179219045341,1.0,0.96875,0.0,0.0,3.0,4.0,3.0,3.875,61.0,0.918032786885246,PRIOR_HEAVY,0.38,13.308457278389518,ROUTE_PROXY_UNVALIDATED,0.6888288022258241,0.8656650341103702,0.95,0.0551747566538948,68.5,38.5,30.0,0.5620437956204379,0.437956204379562,2.25,0.0,PLACEHOLDER_NEUTRAL_V1,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,75,Medium,2,2 seasons,2023,2024,2024,22,2025,1,historical_test,All feature history is before target season/week.,PASS,286.0,1248.0,18.0,4.363636363636363,15.88888888888889,81.0,313.0,4.0,20.25,3.864197530864197,286.0,4.363636363636363,15.88888888888889,4.262463400351357,7.673756740563212,13.835105851807471,4.3282258264866105,,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",59.881462459969136,40-60,1.024818045751556,61.36760333497074,59.881462459969136,True,HISTORICAL TEST ONLY,7,1,7,45,True
00-0033293,A.Jones,Aaron Jones,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",2024,1,REG,,MIN,NYG,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,14,94,1,0,0,6,4.944571092433762,0,2.0,2.0,15.0,0,0,0,6,9,0,0.2979000166524201,0,2.5,0.0869565217391304,0.0307692307692307,0.1519732441471571,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,16.9,18.9,0.0,2.0,2.0,1.0,0.0,0.0869565217391304,0,50.0,0.1037747485357779,0.1070485577185461,0.875,0.75,0.0,0.0,3.25,3.5,2.5,2.5,50.0,0.68,PRIOR_HEAVY,0.38,15.580999949484308,ROUTE_PROXY_UNVALIDATED,0.6888288022258241,0.7216486406677473,0.8176486406677472,0.0604310021445153,60.0,40.25,19.75,0.6708333333333333,0.3291666666666666,2.25,0.0,PLACEHOLDER_NEUTRAL_V1,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,75,Medium,2,2 seasons,2023,2024,2024,22,2025,1,historical_test,All feature history is before target season/week.,PASS,181.0,882.0,13.0,4.87292817679558,13.923076923076923,81.0,457.0,4.0,20.25,5.641975308641976,181.0,4.87292817679558,13.923076923076923,4.262463400351357,7.673756740563212,12.360746877448497,4.659265505040102,,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",57.59200154262793,40-60,1.024818045751556,59.02132247183656,57.59200154262793,True,HISTORICAL TEST ONLY,8,1,8,94,True
00-0035700,J.Jacobs,Josh Jacobs,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/drtobqw2mk7yw3edjgwo",2024,1,REG,,GB,PHI,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,16,84,0,1,0,4,1.129502390380483,0,2.0,3.0,20.0,0,0,0,-11,29,1,0.8317927567820322,0,-1.818181818181818,0.09375,-0.0350318471337579,0.1161027070063694,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,10.4,12.4,0.0,3.0,2.0,0.6666666666666666,0.0,0.09375,0,54.0,0.0906953266787659,0.1004295885825985,0.9166666666666666,0.6880952380952381,0.0,0.0,2.75,3.0,2.25,1.75,54.0,0.6851851851851852,PRIOR_HEAVY,0.38,11.128103888731683,ROUTE_PROXY_UNVALIDATED,0.6888288022258241,0.7325745665936731,0.8285745665936731,0.0571611466802623,62.5,30.75,31.75,0.492,0.508,3.5,0.0,PLACEHOLDER_NEUTRAL_V1,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,75,Medium,2,2 seasons,2023,2024,2024,22,2025,1,historical_test,All feature history is before target season/week.,PASS,233.0,805.0,13.0,3.4549356223175964,17.923076923076923,74.0,299.0,4.0,18.5,4.04054054054054,233.0,3.4549356223175964,17.923076923076923,4.262463400351357,7.673756740563212,15.360746877448497,3.737570344629412,,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",57.41187200051034,40-60,1.024818045751556,58.83672246650149,57.41187200051034,True,HISTORICAL TEST ONLY,9,1,9,84,True
00-0037248,J.Cook,James Cook,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anjbznqb9i21wzcgrtbs",2024,1,REG,,BUF,ARI,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,19,71,0,0,0,5,-3.637484790873714,0,3.0,3.0,32.0,0,0,0,1,31,1,2.4490188638446853,0,32.0,0.1304347826086956,0.0060240963855421,0.1998690413829229,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,10.3,13.3,0.0,3.0,3.0,1.0,0.0,0.1304347826086956,0,63.0,0.1209298584298584,0.124529337029337,0.7208333333333334,0.7724489795918368,0.0,0.0,4.0,3.875,3.0,3.125,63.0,0.8253968253968254,PRIOR_HEAVY,0.38,14.939168130175585,ROUTE_PROXY_UNVALIDATED,0.6888288022258241,0.7635137200328266,0.8595137200328266,0.0647197796180354,72.25,35.75,36.5,0.4948096885813148,0.5051903114186851,2.75,0.0,PLACEHOLDER_NEUTRAL_V1,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,75,Medium,2,2 seasons,2023,2024,2024,22,2025,1,historical_test,All feature history is before target season/week.,PASS,273.0,1262.0,19.0,4.622710622710622,14.36842105263158,65.0,224.0,4.0,16.25,3.4461538461538463,273.0,4.622710622710622,14.36842105263158,4.262463400351357,7.673756740563212,12.694754974614488,4.496624094884879,,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",57.083541097511194,40-60,1.024818045751556,58.50024303213006,57.083541097511194,True,HISTORICAL TEST ONLY,10,1,10,71,True
