season,week,player_id,player_name,team,opponent,position,game_id,home_team,away_team,is_home,spread_line,total_line,team_implied_total,opponent_implied_total,favorite_status,spread_bucket,game_total_bucket,pass_volume_environment,rush_volume_environment,game_script_score,game_environment_reliability,game_environment_notes
2025,1,,S.Barkley,PHI,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Chase,CIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Taylor,IND,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Murray,ARI,SF,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,P.Nacua,LA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Higgins,CIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Thomas,JAX,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Henry,BAL,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Jefferson,MIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Jeudy,CLE,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Robinson,ATL,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,L.McConkey,LAC,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.St. Brown,DET,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Moore,CHI,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Williams,LA,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Shavers,BUF,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Adams,NYJ,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.McLaurin,WAS,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,Ja.Williams,DET,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Mixon,HOU,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,00-0034855,B.Mayfield,TB,WAS,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Bell,CLE,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Jennings,SF,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Jacobs,GB,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Evans,TB,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Pollard,TEN,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,N.Collins,HOU,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Nabers,NYG,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Gibbs,DET,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Smith-Njigba,SEA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.Dowdle,DAL,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Aiyuk,SF,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Meyers,LV,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Addison,MIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,S.Diggs,HOU,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Williams,CHI,GB,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,W.Robinson,NYG,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Irving,TB,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Gould,IND,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Godwin,TB,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Hubbard,CAR,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Mayfield,TB,WAS,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.Pearsall,SF,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Brown,WAS,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Swift,CHI,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Allen,CHI,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Conner,ARI,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Cowing,SF,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.McBride,ARI,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Johnson,PIT,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Pierce,IND,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.Shaheed,NO,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Thielen,CAR,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Cook,BUF,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Kamara,NO,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,G.Wilson,NYJ,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Hill,MIA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Nailor,MIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Jones,MIN,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Etienne,JAX,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.London,ATL,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Lamb,DAL,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Martin,TEN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Downs,IND,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,00-0033106,J.Goff,DET,WAS,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Palmer,LAC,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Samuel,SF,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Washington,MIA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Dobbins,LAC,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.Rice,KC,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Walker,SEA,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Goff,DET,WAS,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,N.Brown,WAS,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Pittman,IND,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,G.Pickens,PIT,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Njoku,CLE,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Allgeier,ATL,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Harrison,ARI,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Smith,MIA,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Pryor,CIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.McCaffrey,SF,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Daniels,WAS,PHI,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Shakir,BUF,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.White,TB,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Valdes-Scantling,NO,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,N.Harris,PIT,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.White,SEA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Tillman,CLE,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Coker,CAR,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,G.Kittle,SF,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Bowers,LV,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Bigsby,JAX,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Olave,NO,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Brown,CIN,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Montgomery,DET,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Gesicki,CIN,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Sutton,DEN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,Q.Johnston,LAC,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Hall,NYJ,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,E.Engram,JAX,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Waddle,MIA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,P.Freiermuth,PIT,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Metcalf,SEA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,00-0035228,K.Murray,ARI,SF,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,X.Worthy,KC,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Achane,MIA,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Burton,CIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Jones,CIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
