market_family,score_bucket,row_count,average_actual_primary_value,median_actual_primary_value,lift_vs_baseline,bucket_flags
passing,0-39,351,109.76638176638177,95.0,-82.41185731736913,OK
passing,40-54,291,190.46391752577318,205.0,-1.714321557977712,OK
passing,55-69,382,209.51570680628274,217.5,17.33746772253184,OK
passing,70-84,303,251.4851485148515,253.0,59.30690943110059,OK
passing,85-100,70,261.2142857142857,256.5,69.03604663053483,OK
receiving,0-39,2586,12.673240525908739,8.0,-16.977339264262437,OK
receiving,40-54,2006,19.89431704885344,14.0,-9.756262741317734,OK
receiving,55-69,2115,30.70354609929078,24.0,1.0529663091196042,OK
receiving,70-84,1772,50.92889390519187,44.0,21.278314115020695,OK
receiving,85-100,576,70.52256944444444,64.0,40.871989654273264,OK
rushing,0-39,1399,8.863473909935669,5.0,-19.212491483607273,OK
rushing,40-54,993,18.080563947633433,12.0,-9.995401445909508,OK
rushing,55-69,1084,26.131918819188193,20.0,-1.944046574354747,OK
rushing,70-84,936,52.8258547008547,48.0,24.749889307311758,OK
rushing,85-100,327,76.2262996941896,69.0,48.15033430064666,OK
