market_family,signal_tier,row_count,average_signal_score,average_actual_primary_value,median_actual_primary_value,baseline_average_actual,lift_vs_baseline,top_quartile_actual_rate,bottom_quartile_actual_rate,notes
passing,ELITE_SIGNAL,70,88.06928571428573,261.2142857142857,256.5,192.1782390837509,69.03604663053483,0.4857142857142857,0.02857142857142857,Research-only tier separation audit.
passing,GOOD_SIGNAL,355,64.81092957746478,217.40281690140844,227.0,192.1782390837509,25.224577817657547,0.28169014084507044,0.1295774647887324,Research-only tier separation audit.
passing,REVIEW,441,31.93639455782313,126.18367346938776,127.0,192.1782390837509,-65.99456561436314,0.11791383219954649,0.5079365079365079,Research-only tier separation audit.
passing,STRONG_SIGNAL,258,77.28302325581397,252.74806201550388,255.0,192.1782390837509,60.56982293175298,0.43410852713178294,0.05426356589147287,Research-only tier separation audit.
passing,WATCH,273,50.769340659340656,191.04029304029305,203.0,192.1782390837509,-1.1379460434578448,0.1978021978021978,0.23443223443223443,Research-only tier separation audit.
receiving,ELITE_SIGNAL,576,87.80223958333333,70.52256944444444,64.0,29.650579790171175,40.871989654273264,0.7152777777777778,0.019097222222222224,Research-only tier separation audit.
receiving,GOOD_SIGNAL,1883,64.5830058417419,32.962825278810406,26.0,29.650579790171175,3.312245488639231,0.29739776951672864,0.16675517790759425,Research-only tier separation audit.
receiving,REVIEW,3063,31.03180541952334,13.911524649036892,9.0,29.650579790171175,-15.739055141134283,0.06692784851452824,0.4538034606594842,Research-only tier separation audit.
receiving,STRONG_SIGNAL,1548,78.60881136950904,52.83139534883721,46.0,29.650579790171175,23.180815558666037,0.5458656330749354,0.0665374677002584,Research-only tier separation audit.
receiving,WATCH,1985,50.511476070528964,20.85743073047859,15.0,29.650579790171175,-8.793149059692585,0.14357682619647355,0.31385390428211585,Research-only tier separation audit.
rushing,ELITE_SIGNAL,327,87.7095107033639,76.2262996941896,69.0,28.07596539354294,48.15033430064666,0.7889908256880734,0.01529051987767584,Research-only tier separation audit.
rushing,GOOD_SIGNAL,969,64.49865841073272,29.189886480908154,22.0,28.07596539354294,1.1139210873652132,0.2590299277605779,0.17131062951496387,Research-only tier separation audit.
rushing,REVIEW,1589,29.70173064820642,9.486469477658906,6.0,28.07596539354294,-18.589495915884036,0.034612964128382634,0.4977973568281938,Research-only tier separation audit.
rushing,STRONG_SIGNAL,828,78.7596497584541,53.88526570048309,49.0,28.07596539354294,25.80930030694015,0.5942028985507246,0.03743961352657005,Research-only tier separation audit.
rushing,WATCH,1026,50.534844054580894,19.639376218323587,14.0,28.07596539354294,-8.436589175219353,0.12962962962962962,0.26413255360623783,Research-only tier separation audit.
