player_id,player_name,team,opponent,position,market_family,receptions_projection,receiving_yards_projection,rushing_yards_projection,carries_projection,pass_attempts_projection,completions_projection,passing_yards_projection,overall_signal_score,signal_tier,recommended_user_action,projection_score,usage_foundation_score,recent_form_score,opponent_fit_score,game_script_score,role_availability_score,volatility_score,data_quality_score,signal_explanation,top_positive_driver_1,top_negative_driver_1
,S.Barkley,PHI,,RB,receiving,1.387257441506324,12.275837977529564,96.84987306664549,11.597620949372056,,,,76.1,STRONG_SIGNAL,STRONG_SIGNAL,100.0,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0,role and availability context: 35.0
,S.Barkley,PHI,,RB,rushing,1.387257441506324,12.275837977529564,96.84987306664549,11.597620949372056,,,,76.1,STRONG_SIGNAL,STRONG_SIGNAL,100.0,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0,role and availability context: 35.0
,J.Chase,CIN,,WR,receiving,5.27720654112724,63.527630601869646,,,,,,76.1,STRONG_SIGNAL,STRONG_SIGNAL,100.0,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0,role and availability context: 35.0
,J.Taylor,IND,,RB,receiving,0.872258025015257,7.774105051191873,85.87558910562794,14.714235572200463,,,,76.1,STRONG_SIGNAL,STRONG_SIGNAL,100.0,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0,role and availability context: 35.0
,J.Taylor,IND,,RB,rushing,0.872258025015257,7.774105051191873,85.87558910562794,14.714235572200463,,,,76.1,STRONG_SIGNAL,STRONG_SIGNAL,100.0,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0,role and availability context: 35.0
,K.Murray,ARI,SF,QB,rushing,,,24.74752719502078,2.28815918004479,32.49919987521579,21.465659706411053,,76.1,STRONG_SIGNAL,STRONG_SIGNAL,100.0,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0,role and availability context: 35.0
,K.Murray,ARI,SF,QB,passing,,,24.74752719502078,2.28815918004479,32.49919987521579,21.465659706411053,,76.1,STRONG_SIGNAL,STRONG_SIGNAL,100.0,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0,role and availability context: 35.0
,P.Nacua,LA,,WR,receiving,5.176884536794578,61.22063283909125,,,,,,76.03,STRONG_SIGNAL,STRONG_SIGNAL,99.84,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 76.0. Main support: projection strength: 99.8; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.8,role and availability context: 35.0
,T.Higgins,CIN,,WR,receiving,4.678326076218257,55.07792274523823,,,,,,75.96,STRONG_SIGNAL,STRONG_SIGNAL,99.69,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 76.0. Main support: projection strength: 99.7; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.7,role and availability context: 35.0
,B.Thomas,JAX,,WR,receiving,4.643276467211669,59.96806986613655,,,,,,75.95,STRONG_SIGNAL,STRONG_SIGNAL,99.67,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 76.0. Main support: projection strength: 99.7; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.7,role and availability context: 35.0
,D.Henry,BAL,,RB,receiving,0.853633146159767,8.963435255923926,89.29835670086044,14.70748572420501,,,,75.94,STRONG_SIGNAL,STRONG_SIGNAL,99.63,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 75.9. Main support: projection strength: 99.6; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.6,role and availability context: 35.0
,D.Henry,BAL,,RB,rushing,0.853633146159767,8.963435255923926,89.29835670086044,14.70748572420501,,,,75.94,STRONG_SIGNAL,STRONG_SIGNAL,99.63,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 75.9. Main support: projection strength: 99.6; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.6,role and availability context: 35.0
,J.Jefferson,MIN,,WR,receiving,4.606112699507349,59.82575835858695,,,,,,75.88,STRONG_SIGNAL,STRONG_SIGNAL,99.51,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 75.9. Main support: projection strength: 99.5; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.5,role and availability context: 35.0
,J.Jeudy,CLE,,WR,receiving,4.637735465224698,57.01349086518891,,,,,,75.83,STRONG_SIGNAL,STRONG_SIGNAL,99.38,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 75.8. Main support: projection strength: 99.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.4,role and availability context: 35.0
,B.Robinson,ATL,,RB,receiving,1.316227646115384,11.357287765002628,72.12970822132897,14.253459230476937,,,,75.74,STRONG_SIGNAL,STRONG_SIGNAL,99.18,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 75.7. Main support: projection strength: 99.2; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.2,role and availability context: 35.0
,B.Robinson,ATL,,RB,rushing,1.316227646115384,11.357287765002628,72.12970822132897,14.253459230476937,,,,75.74,STRONG_SIGNAL,STRONG_SIGNAL,99.18,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 75.7. Main support: projection strength: 99.2; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.2,role and availability context: 35.0
,L.McConkey,LAC,,WR,receiving,4.264222073634005,55.21476608866266,,,,,,75.74,STRONG_SIGNAL,STRONG_SIGNAL,99.18,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 75.7. Main support: projection strength: 99.2; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.2,role and availability context: 35.0
,A.St. Brown,DET,,WR,receiving,4.437743951508125,53.322559832526856,,,,,,75.69,STRONG_SIGNAL,STRONG_SIGNAL,99.06,66.67,50.07,,,35,55,65.7,STRONG_SIGNAL at 75.7. Main support: projection strength: 99.1; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.1,role and availability context: 35.0
