player_id,player_name,season,week,team,opponent,position,targets,receptions,receiving_yards,carries,rushing_yards,pass_attempts,completions,passing_yards,touchdowns_if_available,history_notes
00-0032104,A.Abdullah,2024,17,LV,NO,RB,4,3,32,20,115,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,16,LV,JAX,RB,6,5,47,7,38,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,15,LV,ATL,RB,7,7,58,3,8,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,14,LV,TB,RB,2,1,-3,1,1,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,13,LV,KC,RB,2,2,14,10,39,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,12,LV,DEN,RB,6,5,37,8,28,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,11,LV,MIA,RB,3,3,16,1,1,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,9,LV,CIN,RB,3,3,14,4,12,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,8,LV,KC,RB,2,1,9,1,2,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,6,LV,PIT,RB,5,3,14,4,24,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,5,LV,DEN,RB,3,3,9,5,42,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,4,LV,CLE,RB,0,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,3,LV,CAR,RB,2,2,13,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,2,LV,BAL,RB,2,2,1,2,1,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2024,1,LV,LAC,RB,0,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,18,LV,DEN,RB,1,1,7,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,17,LV,IND,RB,1,1,18,1,4,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,16,LV,KC,RB,1,1,1,2,11,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,15,LV,LAC,RB,2,2,13,6,32,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,14,LV,MIN,RB,2,2,7,1,12,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,12,LV,KC,RB,1,1,2,1,11,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,11,LV,MIA,RB,1,1,4,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,10,LV,NYJ,RB,1,1,4,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,9,LV,NYG,RB,2,2,17,2,8,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,8,LV,DET,RB,1,1,12,1,7,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,6,LV,NE,RB,1,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,5,LV,GB,RB,1,1,11,1,4,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,4,LV,LAC,RB,2,2,14,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,3,LV,PIT,RB,3,2,16,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,2,LV,BUF,RB,3,1,5,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0032104,A.Abdullah,2023,1,LV,DEN,RB,1,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0033296,A.Armah,2023,18,WAS,DAL,RB,1,1,10,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0033296,A.Armah,2023,10,WAS,SEA,RB,1,1,3,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0033296,A.Armah,2023,9,WAS,NE,RB,0,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0033296,A.Armah,2023,8,WAS,PHI,RB,1,1,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0035876,A.Baccellia,2023,8,ARI,BAL,WR,0,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0035602,A.Bachman,2024,8,LV,KC,WR,0,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0035602,A.Bachman,2024,7,LV,LA,WR,0,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0035602,A.Bachman,2024,6,LV,PIT,WR,3,3,31,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0035602,A.Bachman,2024,5,LV,DEN,WR,0,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0035602,A.Bachman,2024,4,LV,CLE,WR,0,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,18,SEA,LA,TE,5,5,34,0,0,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,16,SEA,MIN,TE,2,2,13,0,0,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,15,SEA,GB,TE,3,1,5,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,14,SEA,ARI,TE,1,1,13,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,13,SEA,NYJ,TE,2,2,14,0,0,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,12,SEA,ARI,TE,4,3,19,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,11,SEA,SF,TE,4,2,15,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,9,SEA,LA,TE,7,4,27,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,8,SEA,BUF,TE,2,2,34,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,7,SEA,ATL,TE,1,1,5,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,6,SEA,SF,TE,1,1,13,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,5,SEA,NYG,TE,1,1,13,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,4,SEA,DET,TE,2,2,27,0,0,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,3,SEA,MIA,TE,3,3,13,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0039793,A.Barner,2024,2,SEA,NE,TE,0,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2024,16,HOU,KC,RB,1,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2024,6,GB,ARI,RB,1,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2023,19,HOU,CLE,RB,1,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2023,18,HOU,IND,RB,2,2,9,0,0,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2023,16,HOU,CLE,RB,2,2,6,0,0,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2023,15,HOU,TEN,RB,1,1,-5,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2023,14,HOU,NYJ,RB,1,1,26,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2023,13,HOU,DEN,RB,2,1,5,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2023,12,HOU,JAX,RB,1,1,1,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2023,11,HOU,ARI,RB,0,0,0,1,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2023,9,HOU,TB,RB,2,2,5,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2023,8,HOU,CAR,RB,1,1,8,2,1,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2023,4,HOU,PIT,RB,1,0,0,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2023,3,HOU,JAX,RB,0,0,0,0,0,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0034959,A.Beck,2023,2,HOU,IND,RB,0,0,0,2,2,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0035676,A.Brown,2024,22,PHI,KC,WR,5,3,43,0,0,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0035676,A.Brown,2024,21,PHI,WAS,WR,8,6,96,0,0,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0035676,A.Brown,2024,20,PHI,LA,WR,7,2,14,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0035676,A.Brown,2024,19,PHI,GB,WR,3,1,10,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0035676,A.Brown,2024,17,PHI,DAL,WR,5,3,36,0,0,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0035676,A.Brown,2024,16,PHI,WAS,WR,15,8,97,0,0,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0035676,A.Brown,2024,15,PHI,PIT,WR,11,8,110,0,0,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0035676,A.Brown,2024,14,PHI,CAR,WR,4,4,43,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0035676,A.Brown,2024,13,PHI,BAL,WR,6,5,66,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
00-0035676,A.Brown,2024,12,PHI,LA,WR,7,6,109,0,0,0,0,0,1,Prior games only; target week and future rows excluded from drilldown history.
00-0035676,A.Brown,2024,11,PHI,WAS,WR,8,5,65,0,0,0,0,0,0,Prior games only; target week and future rows excluded from drilldown history.
