player_id,player_name,team,opponent,position,market_family,production_champion_profile,challenger_profile_name,current_overall_signal_score,challenger_overall_signal_score,signal_score_delta,current_signal_tier,challenger_signal_tier,tier_change,current_recommended_user_action,challenger_recommended_user_action,action_change,preview_usage_status,preview_notes
,B.Robinson,WAS,,RB,rushing,current_v1,projection_heavy,71.86,76.7,4.84,GOOD_SIGNAL,STRONG_SIGNAL,TIER_UPGRADE,GOOD_SIGNAL,STRONG_SIGNAL,ACTION_CHANGED,RESEARCH_ONLY,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,J.Mason,SF,,RB,rushing,current_v1,projection_heavy,71.69,76.48,4.79,GOOD_SIGNAL,STRONG_SIGNAL,TIER_UPGRADE,GOOD_SIGNAL,STRONG_SIGNAL,ACTION_CHANGED,RESEARCH_ONLY,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,M.Gordon,BAL,,RB,rushing,current_v1,projection_heavy,71.61,76.37,4.76,GOOD_SIGNAL,STRONG_SIGNAL,TIER_UPGRADE,GOOD_SIGNAL,STRONG_SIGNAL,ACTION_CHANGED,RESEARCH_ONLY,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
00-0039918,C.Williams,CHI,GB,QB,passing,current_v1,game_script_heavy,71.6,72.18,0.58,GOOD_SIGNAL,STRONG_SIGNAL,TIER_UPGRADE,GOOD_SIGNAL,STRONG_SIGNAL,ACTION_CHANGED,RESEARCH_ONLY,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,K.Hunt,KC,,RB,rushing,current_v1,projection_heavy,71.53,76.26,4.73,GOOD_SIGNAL,STRONG_SIGNAL,TIER_UPGRADE,GOOD_SIGNAL,STRONG_SIGNAL,ACTION_CHANGED,RESEARCH_ONLY,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,L.Jackson,BAL,BUF,QB,rushing,current_v1,projection_heavy,71.44,76.13,4.69,GOOD_SIGNAL,STRONG_SIGNAL,TIER_UPGRADE,GOOD_SIGNAL,STRONG_SIGNAL,ACTION_CHANGED,RESEARCH_ONLY,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,T.Tracy,NYG,,RB,rushing,current_v1,projection_heavy,71.37,76.04,4.67,GOOD_SIGNAL,STRONG_SIGNAL,TIER_UPGRADE,GOOD_SIGNAL,STRONG_SIGNAL,ACTION_CHANGED,RESEARCH_ONLY,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,J.McClellan,ATL,,RB,rushing,current_v1,projection_heavy,71.26,75.89,4.63,GOOD_SIGNAL,STRONG_SIGNAL,TIER_UPGRADE,GOOD_SIGNAL,STRONG_SIGNAL,ACTION_CHANGED,RESEARCH_ONLY,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,N.Chubb,CLE,,RB,rushing,current_v1,projection_heavy,71.2,75.82,4.62,GOOD_SIGNAL,STRONG_SIGNAL,TIER_UPGRADE,GOOD_SIGNAL,STRONG_SIGNAL,ACTION_CHANGED,RESEARCH_ONLY,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,S.McCormick,LV,,RB,rushing,current_v1,projection_heavy,71.04,75.6,4.56,GOOD_SIGNAL,STRONG_SIGNAL,TIER_UPGRADE,GOOD_SIGNAL,STRONG_SIGNAL,ACTION_CHANGED,RESEARCH_ONLY,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
