player_id,player_name,team,opponent,position,market_family,current_overall_signal_score,challenger_overall_signal_score,signal_score_delta,current_signal_tier,challenger_signal_tier,tier_change,current_recommended_user_action,challenger_recommended_user_action,top_positive_driver_1,top_negative_driver_1,preview_flag,preview_notes
,H.Hooker,DET,JAX,QB,rushing,34.32,26.23,-8.09,REVIEW,REVIEW,NO_TIER_CHANGE,PRIORITY_REVIEW,PRIORITY_REVIEW,usage foundation: 66.7,projection strength: 4.5,BIG_DOWNGRADE,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,J.Browning,CIN,CLE,QB,rushing,35.4,27.68,-7.72,REVIEW,REVIEW,NO_TIER_CHANGE,PRIORITY_REVIEW,PRIORITY_REVIEW,usage foundation: 66.7,projection strength: 7.0,BIG_DOWNGRADE,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,A.O'Connell,LV,LAC,QB,rushing,36.1,28.63,-7.47,REVIEW,REVIEW,NO_TIER_CHANGE,PRIORITY_REVIEW,PRIORITY_REVIEW,usage foundation: 66.7,projection strength: 8.6,BIG_DOWNGRADE,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,D.Laube,LV,,RB,rushing,36.62,29.33,-7.29,REVIEW,REVIEW,NO_TIER_CHANGE,PRIORITY_REVIEW,PRIORITY_REVIEW,usage foundation: 66.7,projection strength: 9.8,BIG_DOWNGRADE,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,A.Beck,HOU,,RB,rushing,36.92,29.73,-7.19,REVIEW,REVIEW,NO_TIER_CHANGE,PRIORITY_REVIEW,PRIORITY_REVIEW,usage foundation: 66.7,projection strength: 10.4,BIG_DOWNGRADE,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,C.Wentz,KC,DEN,QB,rushing,37.57,30.6,-6.97,REVIEW,REVIEW,NO_TIER_CHANGE,PRIORITY_REVIEW,PRIORITY_REVIEW,usage foundation: 66.7,projection strength: 11.9,BIG_DOWNGRADE,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,C.Collier,LV,,RB,rushing,37.9,31.04,-6.86,REVIEW,REVIEW,NO_TIER_CHANGE,PRIORITY_REVIEW,PRIORITY_REVIEW,usage foundation: 66.7,projection strength: 12.7,BIG_DOWNGRADE,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,M.Stafford,LA,PHI,QB,rushing,38.26,31.53,-6.73,REVIEW,REVIEW,NO_TIER_CHANGE,PRIORITY_REVIEW,PRIORITY_REVIEW,usage foundation: 66.7,projection strength: 13.5,BIG_DOWNGRADE,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,K.Nwangwu,NYJ,,RB,rushing,38.39,31.7,-6.69,REVIEW,REVIEW,NO_TIER_CHANGE,PRIORITY_REVIEW,PRIORITY_REVIEW,usage foundation: 66.7,projection strength: 13.8,BIG_DOWNGRADE,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
,G.Minshew,LV,DEN,QB,rushing,38.88,32.36,-6.52,REVIEW,REVIEW,NO_TIER_CHANGE,PRIORITY_REVIEW,PRIORITY_REVIEW,usage foundation: 66.7,projection strength: 14.9,BIG_DOWNGRADE,RESEARCH_ONLY challenger preview; production signal boards remain current_v1.
