player_id,player_name,team,opponent,position,market_family,overall_signal_score,signal_tier,plain_english_summary,why_green,why_yellow_or_review,why_red_or_blocked,data_limitations,recommended_user_action
,S.Barkley,PHI,,RB,"receiving, rushing",76.1,STRONG_SIGNAL,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Chase,CIN,,WR,receiving,76.1,STRONG_SIGNAL,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Taylor,IND,,RB,"receiving, rushing",76.1,STRONG_SIGNAL,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,K.Murray,ARI,SF,QB,"rushing, passing",76.1,STRONG_SIGNAL,STRONG_SIGNAL at 76.1. Main support: projection strength: 100.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 100.0; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,P.Nacua,LA,,WR,receiving,76.03,STRONG_SIGNAL,STRONG_SIGNAL at 76.0. Main support: projection strength: 99.8; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.8; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,T.Higgins,CIN,,WR,receiving,75.96,STRONG_SIGNAL,STRONG_SIGNAL at 76.0. Main support: projection strength: 99.7; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.7; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,B.Thomas,JAX,,WR,receiving,75.95,STRONG_SIGNAL,STRONG_SIGNAL at 76.0. Main support: projection strength: 99.7; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.7; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,D.Henry,BAL,,RB,"receiving, rushing",75.94,STRONG_SIGNAL,STRONG_SIGNAL at 75.9. Main support: projection strength: 99.6; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.6; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Jefferson,MIN,,WR,receiving,75.88,STRONG_SIGNAL,STRONG_SIGNAL at 75.9. Main support: projection strength: 99.5; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.5; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Jeudy,CLE,,WR,receiving,75.83,STRONG_SIGNAL,STRONG_SIGNAL at 75.8. Main support: projection strength: 99.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.4; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,B.Robinson,ATL,,RB,"receiving, rushing",75.74,STRONG_SIGNAL,STRONG_SIGNAL at 75.7. Main support: projection strength: 99.2; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.2; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,L.McConkey,LAC,,WR,receiving,75.74,STRONG_SIGNAL,STRONG_SIGNAL at 75.7. Main support: projection strength: 99.2; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.2; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,A.St. Brown,DET,,WR,receiving,75.69,STRONG_SIGNAL,STRONG_SIGNAL at 75.7. Main support: projection strength: 99.1; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.1; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,D.Moore,CHI,,WR,receiving,75.62,STRONG_SIGNAL,STRONG_SIGNAL at 75.6. Main support: projection strength: 98.9; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.9; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,K.Williams,LA,,RB,"receiving, rushing",75.61,STRONG_SIGNAL,STRONG_SIGNAL at 75.6. Main support: projection strength: 98.9; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.9; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,T.Shavers,BUF,,WR,receiving,75.6,STRONG_SIGNAL,STRONG_SIGNAL at 75.6. Main support: projection strength: 98.8; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.8; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,D.Adams,NYJ,,WR,receiving,75.48,STRONG_SIGNAL,STRONG_SIGNAL at 75.5. Main support: projection strength: 98.6; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.6; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,T.McLaurin,WAS,,WR,receiving,75.42,STRONG_SIGNAL,STRONG_SIGNAL at 75.4. Main support: projection strength: 98.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.4; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,Ja.Williams,DET,,WR,receiving,75.38,STRONG_SIGNAL,STRONG_SIGNAL at 75.4. Main support: projection strength: 98.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.4; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
,J.Mixon,HOU,,RB,"receiving, rushing",75.38,STRONG_SIGNAL,STRONG_SIGNAL at 75.4. Main support: projection strength: 98.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.4; usage foundation: 66.7; data quality: 65.7,,nan,weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited,BLOCKED_DATA
