score_bucket,row_count,average_projection,average_actual,projection_error,hit_rate_over_common_line_if_available,notes
0-39,351,,109.76638176638177,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
40-54,291,,190.46391752577318,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
55-69,382,,209.51570680628274,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
70-84,303,,251.4851485148515,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
85-100,70,,261.2142857142857,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
0-39,2586,,12.673240525908739,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
40-54,2006,,19.89431704885344,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
55-69,2115,,30.70354609929078,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
70-84,1772,,50.92889390519187,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
85-100,576,,70.52256944444444,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
0-39,1399,,8.863473909935669,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
40-54,993,,18.080563947633433,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
55-69,1084,,26.131918819188193,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
70-84,936,,52.8258547008547,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
85-100,327,,76.2262996941896,,,PARTIAL_HISTORICAL_SIGNAL_BACKTEST: OK
