season,week,player_id,player_name,team,role_family,category,situation_type,original_headline,revised_headline,original_explanation,revised_explanation,selection_unchanged,category_unchanged,audit_copy_removed
2025,2,00-0040236,Kyle Monangai,CHI,rb_opportunity_share,Box Score Overstated the Role,individual,6 of 10 opportunities occurred outside normal-game context.,6 of 10 opportunities occurred outside normal-game context.,All-play share was 16.5 points above normal-game share.,All-play share was 16.5 points above normal-game share.,True,True,True
2025,2,00-0039875,Ray Davis,BUF,rb_carry_share,Box Score Overstated the Role,individual,5 of 9 opportunities occurred outside normal-game context.,5 of 9 opportunities occurred outside normal-game context.,All-play share was 11.0 points above normal-game share.,All-play share was 11.0 points above normal-game share.,True,True,True
2025,2,00-0040122,Ashton Jeanty,LV,rb_carry_share,Opportunity Lost,individual,Carry share fell from 82.6% to 57.9%.,Carry share fell from 82.6% to 57.9%.,Week 2 share was 24.7 points below Week 1.,Week 2 share was 24.7 points below Week 1.,True,True,True
2025,2,00-0035662,Marquise Brown,KC,wr_target_share,Opportunity Lost,individual,Target share fell from 42.1% to 17.2%.,Target share fell from 42.1% to 17.2%.,Week 2 share was 24.9 points below Week 1.,Week 2 share was 24.9 points below Week 1.,True,True,True
2025,2,00-0032764,Derrick Henry,BAL,rb_opportunity_share,Opportunity Lost,individual,RB opportunity share fell from 79.2% to 60.0%.,RB opportunity share fell from 79.2% to 60.0%.,Week 2 share was 19.2 points below Week 1.,Week 2 share was 19.2 points below Week 1.,True,True,True
2025,2,00-0036893,Najee Harris,LAC,rb_opportunity_share,Opportunity Gained,reciprocal_transfer,Najee Harris gained RB opportunity share; Omarion Hampton lost share.,LAC shifted more backfield work toward Najee Harris.,"Week 2 share for Najee Harris was 39.5 points above Week 1; normal-game counts were Najee Harris 10 of 20, Omarion Hampton 10 of 20.",Najee Harris's share increased while Omarion Hampton handled less of the same team opportunity.,True,True,True
2025,2,00-0033908,Cooper Kupp,SEA,wr_target_share,Opportunity Gained,reciprocal_transfer,Cooper Kupp gained Target share; Jaxon Smith-Njigba lost share.,Cooper Kupp gained target ownership as Jaxon Smith-Njigba handled a smaller share.,"Week 2 share for Cooper Kupp was 16.4 points above Week 1; normal-game counts were Cooper Kupp 9 of 30, Jaxon Smith-Njigba 10 of 30.",Cooper Kupp's share increased while Jaxon Smith-Njigba handled less of the same team opportunity.,True,True,True
2025,2,00-0040715,Cam Skattebo,NYG,rb_opportunity_share,Opportunity Gained,reciprocal_transfer,Cam Skattebo gained RB opportunity share; Tyrone Tracy Jr. lost share.,NYG shifted more backfield work toward Cam Skattebo.,"Week 2 share for Cam Skattebo was 37.8 points above Week 1; normal-game counts were Cam Skattebo 14 of 25, Tyrone Tracy Jr. 10 of 25.",Cam Skattebo's share increased while Tyrone Tracy Jr. handled less of the same team opportunity.,True,True,True
2025,2,00-0039165,Zach Charbonnet,SEA,rb_carry_share,"Strong Opportunity, Weak Production",individual,Produced 10 yards while handling 15 of 29 team carries; yards per carry was 0.7.,Produced 10 yards while handling 15 of 29 team carries; yards per carry was 0.7.,Yards per carry was 0.7 in the selected week.,Yards per carry was 0.7 in the selected week.,True,True,True
2025,2,00-0038597,Chase Brown,CIN,rb_carry_share,"Strong Opportunity, Weak Production",individual,Produced 47 yards while handling 16 of 17 team carries; yards per carry was 2.9.,Produced 47 yards while handling 16 of 17 team carries; yards per carry was 2.9.,Yards per carry was 2.9 in the selected week.,Yards per carry was 2.9 in the selected week.,True,True,True
2025,5,00-0033526,Samaje Perine,CIN,rb_opportunity_share,Box Score Overstated the Role,individual,4 of 6 opportunities occurred outside normal-game context.,4 of 6 opportunities occurred outside normal-game context.,All-play share was 13.0 points above normal-game share.,All-play share was 13.0 points above normal-game share.,True,True,True
2025,5,00-0034960,Jakobi Meyers,LV,wr_target_share,Box Score Overstated the Role,individual,5 of 6 opportunities occurred outside normal-game context.,5 of 6 opportunities occurred outside normal-game context.,All-play share was 11.9 points above normal-game share.,All-play share was 11.9 points above normal-game share.,True,True,True
2025,5,00-0040179,DJ Giddens,IND,rb_carry_share,Box Score Overstated the Role,individual,5 of 5 opportunities occurred outside normal-game context.,5 of 5 opportunities occurred outside normal-game context.,All-play share was 20.8 points above normal-game share.,All-play share was 20.8 points above normal-game share.,True,True,True
2025,5,00-0034844,Saquon Barkley,PHI,rb_opportunity_share,Opportunity Lost,individual,RB opportunity share fell from 87.7% to 64.3%.,RB opportunity share fell from 87.7% to 64.3%.,Selected-week share was 23.5 points below the prior 4-game baseline.,Selected-week share was 23.5 points below the prior 4-game baseline.,True,True,True
