season,week,team,team_plays,team_pass_attempts,team_rush_attempts,team_tds,projected_team_plays,projected_team_pass_attempts,projected_team_rush_attempts,projected_team_tds,projected_pass_rate,projected_rush_rate,projected_team_tds_placeholder
2023,1,ARI,58.0,33.0,25.0,0.0,62.0,34.0,27.0,2.4,0.5573770491803278,0.4426229508196721,2.4
2023,2,ARI,61.0,31.0,30.0,3.0,58.0,33.0,25.0,0.0,0.5689655172413793,0.43103448275862066,0.0
2023,3,ARI,55.0,24.0,31.0,3.0,59.5,32.0,27.5,1.5,0.5378151260504201,0.46218487394957986,1.5
2023,4,ARI,68.0,42.0,26.0,2.0,58.0,29.333333333333332,28.666666666666668,2.0,0.5057471264367815,0.4942528735632184,2.0
2023,5,ARI,57.0,35.0,22.0,4.0,60.5,32.5,28.0,2.0,0.5371900826446281,0.4628099173553719,2.0
2023,6,ARI,73.0,43.0,30.0,0.0,60.25,33.0,27.25,3.0,0.5477178423236515,0.45228215767634855,3.0
2023,7,ARI,63.0,38.0,25.0,1.0,63.25,36.0,27.25,2.25,0.5691699604743083,0.4308300395256917,2.25
2023,8,ARI,73.0,40.0,33.0,3.0,65.25,39.5,25.75,1.75,0.6053639846743295,0.3946360153256705,1.75
2023,9,ARI,48.0,27.0,21.0,0.0,66.5,39.0,27.5,2.0,0.5864661654135338,0.41353383458646614,2.0
2023,10,ARI,61.0,35.0,26.0,2.0,64.25,37.0,27.25,1.0,0.5758754863813229,0.42412451361867703,1.0
2023,11,ARI,59.0,33.0,26.0,2.0,61.25,35.0,26.25,1.5,0.5714285714285714,0.42857142857142855,1.5
2023,12,ARI,66.0,50.0,16.0,2.0,60.25,33.75,26.5,1.75,0.5601659751037344,0.43983402489626555,1.75
2023,13,ARI,63.0,25.0,38.0,3.0,58.5,36.25,22.25,1.5,0.6196581196581197,0.3803418803418803,1.5
2023,15,ARI,73.0,43.0,30.0,4.0,62.25,35.75,26.5,2.25,0.5742971887550201,0.42570281124497994,2.25
2023,16,ARI,61.0,41.0,20.0,2.0,65.25,37.75,27.5,2.75,0.578544061302682,0.421455938697318,2.75
2023,17,ARI,73.0,33.0,40.0,5.0,65.75,39.75,26.0,2.75,0.6045627376425855,0.39543726235741444,2.75
2023,18,ARI,69.0,31.0,38.0,2.0,67.5,35.5,32.0,3.5,0.5259259259259259,0.4740740740740741,3.5
2024,1,ARI,61.0,35.0,26.0,3.0,69.0,37.0,32.0,3.25,0.5362318840579711,0.463768115942029,3.25
2024,2,ARI,62.0,22.0,40.0,5.0,66.0,35.0,31.0,3.0,0.5303030303030303,0.4696969696969697,3.0
2024,3,ARI,53.0,35.0,18.0,1.0,66.25,30.25,36.0,3.75,0.45660377358490567,0.5433962264150943,3.75
2024,4,ARI,58.0,26.0,32.0,2.0,61.25,30.75,30.5,2.75,0.5020408163265306,0.49795918367346936,2.75
2024,5,ARI,58.0,31.0,27.0,3.0,58.5,29.5,29.0,2.75,0.5042735042735043,0.49572649572649574,2.75
2024,6,ARI,55.0,32.0,23.0,1.0,57.75,28.5,29.25,2.75,0.4935064935064935,0.5064935064935064,2.75
2024,7,ARI,55.0,26.0,29.0,2.0,56.0,31.0,25.0,1.75,0.5535714285714286,0.44642857142857145,1.75
2024,8,ARI,63.0,36.0,27.0,3.0,56.5,28.75,27.75,2.0,0.5088495575221239,0.4911504424778761,2.0
2024,9,ARI,57.0,23.0,34.0,3.0,57.75,31.25,26.5,2.25,0.5411255411255411,0.4588744588744589,2.25
2024,10,ARI,57.0,25.0,32.0,4.0,57.5,29.25,28.25,2.25,0.508695652173913,0.49130434782608695,2.25
2024,12,ARI,56.0,42.0,14.0,1.0,58.0,27.5,30.5,3.0,0.47413793103448276,0.5258620689655172,3.0
2024,13,ARI,77.0,46.0,31.0,1.0,58.25,31.5,26.75,2.75,0.5407725321888412,0.4592274678111588,2.75
2024,14,ARI,64.0,40.0,24.0,2.0,61.75,34.0,27.75,2.25,0.5506072874493927,0.4493927125506073,2.25
2024,15,ARI,64.0,32.0,32.0,3.0,63.5,38.25,25.25,2.0,0.6023622047244095,0.39763779527559057,2.0
2024,16,ARI,64.0,35.0,29.0,3.0,65.25,40.0,25.25,1.75,0.6130268199233716,0.38697318007662834,1.75
2024,17,ARI,74.0,52.0,22.0,1.0,67.25,38.25,29.0,2.25,0.5687732342007435,0.4312267657992565,2.25
2024,18,ARI,63.0,35.0,28.0,6.0,66.5,39.75,26.75,2.25,0.5977443609022557,0.40225563909774437,2.25
2023,1,ATL,48.0,22.0,26.0,3.0,62.0,34.0,27.0,2.4,0.5573770491803278,0.4426229508196721,2.4
2023,2,ATL,78.0,33.0,45.0,2.0,48.0,22.0,26.0,3.0,0.4583333333333333,0.5416666666666666,3.0
2023,3,ATL,65.0,45.0,20.0,0.0,63.0,27.5,35.5,2.5,0.4365079365079365,0.5634920634920635,2.5
2023,4,ATL,57.0,35.0,22.0,2.0,63.666666666666664,33.333333333333336,30.333333333333332,1.6666666666666667,0.5235602094240838,0.4764397905759162,1.6666666666666667
2023,5,ATL,75.0,39.0,36.0,2.0,62.0,33.75,28.25,1.75,0.5443548387096774,0.45564516129032256,1.75
2023,6,ATL,80.0,50.0,30.0,2.0,68.75,38.0,30.75,1.5,0.5527272727272727,0.44727272727272727,1.5
2023,7,ATL,64.0,26.0,38.0,1.0,69.25,42.25,27.0,1.5,0.6101083032490975,0.3898916967509025,1.5
2023,8,ATL,66.0,40.0,26.0,2.0,69.0,37.5,31.5,1.75,0.5434782608695652,0.45652173913043476,1.75
2023,9,ATL,67.0,39.0,28.0,2.0,71.25,38.75,32.5,1.75,0.543859649122807,0.45614035087719296,1.75
2023,10,ATL,66.0,25.0,41.0,3.0,69.25,38.75,30.5,1.75,0.5595667870036101,0.4404332129963899,1.75
2023,12,ATL,62.0,21.0,41.0,2.0,65.75,32.5,33.25,2.0,0.49429657794676807,0.5057034220532319,2.0
2023,13,ATL,64.0,30.0,34.0,1.0,65.25,31.25,34.0,2.25,0.4789272030651341,0.5210727969348659,2.25
2023,14,ATL,70.0,44.0,26.0,3.0,64.75,28.75,36.0,2.0,0.444015444015444,0.555984555984556,2.0
2023,15,ATL,51.0,20.0,31.0,1.0,65.5,30.0,35.5,2.25,0.4580152671755725,0.5419847328244275,2.25
2023,16,ATL,64.0,34.0,30.0,2.0,61.75,28.75,33.0,1.75,0.46558704453441296,0.5344129554655871,1.75
2023,17,ATL,59.0,35.0,24.0,2.0,62.25,32.0,30.25,1.75,0.5140562248995983,0.4859437751004016,1.75
2023,18,ATL,60.0,35.0,25.0,2.0,61.0,33.25,27.75,2.0,0.5450819672131147,0.45491803278688525,2.0
2024,1,ATL,50.0,28.0,22.0,1.0,58.5,31.0,27.5,1.75,0.5299145299145299,0.4700854700854701,1.75
2024,2,ATL,59.0,31.0,28.0,2.0,58.25,33.0,25.25,1.75,0.5665236051502146,0.4334763948497854,1.75
2024,3,ATL,56.0,31.0,25.0,2.0,57.0,32.25,24.75,1.75,0.5657894736842105,0.4342105263157895,1.75
2024,4,ATL,51.0,36.0,15.0,1.0,56.25,31.25,25.0,1.75,0.5555555555555556,0.4444444444444444,1.75
2024,5,ATL,81.0,63.0,18.0,4.0,54.0,31.5,22.5,1.5,0.5833333333333334,0.4166666666666667,1.5
2024,6,ATL,69.0,30.0,39.0,4.0,61.75,40.25,21.5,2.25,0.6518218623481782,0.3481781376518219,2.25
2024,7,ATL,71.0,39.0,32.0,3.0,64.25,40.0,24.25,2.75,0.622568093385214,0.377431906614786,2.75
2024,8,ATL,60.0,31.0,29.0,4.0,68.0,42.0,26.0,3.0,0.6176470588235294,0.38235294117647056,3.0
2024,9,ATL,57.0,27.0,30.0,4.0,70.25,40.75,29.5,3.75,0.5800711743772242,0.4199288256227758,3.75
2024,10,ATL,73.0,41.0,32.0,2.0,64.25,31.75,32.5,3.75,0.49416342412451364,0.5058365758754864,3.75
2024,11,ATL,56.0,35.0,21.0,0.0,65.25,34.5,30.75,3.25,0.5287356321839081,0.47126436781609193,3.25
