season,week,player_id,player_name,team,qualifying_categories,category_count
2025,2,00-0032764,Derrick Henry,BAL,"Opportunity Lost | Strong Opportunity, Weak Production",2
2025,2,00-0033699,Austin Ekeler,WAS,"Opportunity Gained | Strong Opportunity, Weak Production",2
2025,2,00-0035685,David Montgomery,DET,Box Score Overstated the Role | Opportunity Lost,2
2025,2,00-0040122,Ashton Jeanty,LV,"Opportunity Lost | Strong Opportunity, Weak Production",2
2025,2,00-0040666,Omarion Hampton,LAC,"Opportunity Lost | Strong Opportunity, Weak Production",2
2025,5,00-0034960,Jakobi Meyers,LV,Box Score Overstated the Role | Opportunity Lost,2
2025,5,00-0037256,Rachaad White,TB,"Opportunity Gained | Strong Opportunity, Weak Production",2
2025,8,00-0035700,Josh Jacobs,GB,"Opportunity Lost | Strong Opportunity, Weak Production",2
2025,11,00-0035250,Devin Singletary,NYG,"Opportunity Gained | Strong Opportunity, Weak Production",2
2025,11,00-0036919,Kenny Gainwell,PIT,"Opportunity Gained | Strong Opportunity, Weak Production",2
2025,11,00-0036924,Michael Carter,ARI,Box Score Overstated the Role | Opportunity Lost,2
2025,11,00-0040122,Ashton Jeanty,LV,"Opportunity Lost | Strong Opportunity, Weak Production",2
2025,11,00-0040583,Woody Marks,HOU,"Opportunity Gained | Strong Opportunity, Weak Production",2
2025,11,00-0040730,RJ Harvey,DEN,"Opportunity Gained | Strong Opportunity, Weak Production",2
2025,14,00-0033923,Kareem Hunt,KC,"Opportunity Lost | Strong Opportunity, Weak Production",2
2025,14,00-0039165,Zach Charbonnet,SEA,Box Score Overstated the Role | Opportunity Lost,2
2025,14,00-0040583,Woody Marks,HOU,"Opportunity Gained | Strong Opportunity, Weak Production",2
2025,14,00-0040784,Quinshon Judkins,CLE,"Opportunity Lost | Strong Opportunity, Weak Production",2
2025,18,00-0030279,Keenan Allen,LAC,"Opportunity Gained | Strong Opportunity, Weak Production",2
2025,18,00-0036223,Jonathan Taylor,IND,"Opportunity Lost | Strong Opportunity, Weak Production",2
2025,18,00-0038797,Emanuel Wilson,GB,"Opportunity Gained | Strong Opportunity, Weak Production",2
2025,18,00-0039373,Audric Estimé,NO,"Opportunity Gained | Strong Opportunity, Weak Production",2
2025,18,00-0039874,Jaylen Wright,MIA,"Opportunity Gained | Strong Opportunity, Weak Production",2
2025,18,00-0040198,Ollie Gordon II,MIA,"Opportunity Gained | Strong Opportunity, Weak Production",2
