season,week,category,player_id,player_name,team,position,role_family,role_family_label,headline,current_raw,current_denominator,current_share,baseline_raw,baseline_denominator,baseline_share,share_change,all_play_raw,all_play_denominator,all_play_share,outside_normal_opportunities,all_play_normal_gap,production_yards,yards_per_opportunity,useful_contexts,context_summary,baseline_games,category_reason,secondary_categories,suspected_partial_game,player_href,team_href,game_href,explanation
2025,2,Box Score Overstated the Role,00-0035685,David Montgomery,DET,RB,rb_carry_share,RB carry share,6 of 11 opportunities occurred outside normal-game context.,5,19,0.2631578947368421,11,20,0.55,-0.28684210526315795,11,30,0.3666666666666666,6,0.1035087719298245,57.0,11.4,4,"early downs, red zone, inside five, passing downs",1,All-play usage materially exceeded normal-game usage because opportunities occurred outside normal context.,Box Score Overstated the Role | Opportunity Lost,False,/players?player=00-0035685&season=2025&family=rb_carry_share&week=2,/teams?team=DET&season=2025&family=rb_carry_share&week=2,/games?season=2025&week=2&game=2025_02_CHI_DET,All-play share was 10.4 points above normal-game share.
2025,2,Box Score Overstated the Role,00-0040236,Kyle Monangai,CHI,RB,rb_opportunity_share,RB opportunity share,6 of 10 opportunities occurred outside normal-game context.,4,17,0.2352941176470588,1,23,0.043478260869565216,0.19181585677749358,10,25,0.4,6,0.16470588235294123,36.0,9.0,3,"early downs, passing downs, red zone",1,All-play usage materially exceeded normal-game usage because opportunities occurred outside normal context.,Box Score Overstated the Role,False,/players?player=00-0040236&season=2025&family=rb_opportunity_share&week=2,/teams?team=CHI&season=2025&family=rb_opportunity_share&week=2,/games?season=2025&week=2&game=2025_02_CHI_DET,All-play share was 16.5 points above normal-game share.
2025,2,Box Score Overstated the Role,00-0039875,Ray Davis,BUF,RB,rb_carry_share,RB carry share,5 of 9 opportunities occurred outside normal-game context.,4,33,0.1212121212121212,1,28,0.03571428571428571,0.08549783549783549,9,39,0.2307692307692307,5,0.1095571095571095,24.0,6.0,3,"early downs, passing downs, red zone",1,All-play usage materially exceeded normal-game usage because opportunities occurred outside normal context.,Box Score Overstated the Role,False,/players?player=00-0039875&season=2025&family=rb_carry_share&week=2,/teams?team=BUF&season=2025&family=rb_carry_share&week=2,/games?season=2025&week=2&game=2025_02_BUF_NYJ,All-play share was 11.0 points above normal-game share.
2025,2,Opportunity Lost,00-0040162,Dylan Sampson,CLE,RB,rb_opportunity_share,RB opportunity share,RB opportunity share fell from 66.7% to 15.0%.,3,20,0.15,20,30,0.6666666666666666,-0.5166666666666666,7,32,0.21875,4,0.06875,19.0,6.333333333333333,3,"early downs, passing downs, red zone",1,Selected-week normal-game share was materially below a meaningful prior role.,Opportunity Lost,False,/players?player=00-0040162&season=2025&family=rb_opportunity_share&week=2,/teams?team=CLE&season=2025&family=rb_opportunity_share&week=2,/games?season=2025&week=2&game=2025_02_CLE_BAL,Selected-week share was 51.7 points below the prior 1-game baseline. Jerome Ford had the largest same-family increase for CLE.
2025,2,Opportunity Lost,00-0040666,Omarion Hampton,LAC,RB,rb_opportunity_share,RB opportunity share,RB opportunity share fell from 89.5% to 50.0%.,10,20,0.5,17,19,0.8947368421052632,-0.39473684210526316,10,20,0.5,0,0.0,25.0,2.5,4,"early downs, red zone, inside five, passing downs",1,Selected-week normal-game share was materially below a meaningful prior role.,"Opportunity Lost | Strong Opportunity, Weak Production",False,/players?player=00-0040666&season=2025&family=rb_opportunity_share&week=2,/teams?team=LAC&season=2025&family=rb_opportunity_share&week=2,/games?season=2025&week=2&game=2025_02_LAC_LV,Selected-week share was 39.5 points below the prior 1-game baseline. Najee Harris had the largest same-family increase for LAC.
2025,2,Opportunity Lost,00-0040734,TreVeyon Henderson,NE,RB,rb_opportunity_share,RB opportunity share,RB opportunity share fell from 47.8% to 18.5%.,5,27,0.1851851851851851,11,23,0.4782608695652174,-0.2930756843800323,5,27,0.1851851851851851,0,0.0,40.0,8.0,3,"early downs, passing downs, red zone",1,Selected-week normal-game share was materially below a meaningful prior role.,Opportunity Lost,False,/players?player=00-0040734&season=2025&family=rb_opportunity_share&week=2,/teams?team=NE&season=2025&family=rb_opportunity_share&week=2,/games?season=2025&week=2&game=2025_02_NE_MIA,Selected-week share was 29.3 points below the prior 1-game baseline. Rhamondre Stevenson had the largest same-family increase for NE.
2025,2,Opportunity Gained,00-0040715,Cam Skattebo,NYG,RB,rb_carry_share,RB carry share,Handled 11 of 21 team carries.,11,21,0.5238095238095238,2,23,0.08695652173913043,0.4368530020703934,11,21,0.5238095238095238,0,0.0,45.0,4.090909090909091,4,"early downs, red zone, passing downs, inside five",1,Selected-week normal-game share materially exceeded the prior qualifying-game baseline.,Opportunity Gained,False,/players?player=00-0040715&season=2025&family=rb_carry_share&week=2,/teams?team=NYG&season=2025&family=rb_carry_share&week=2,/games?season=2025&week=2&game=2025_02_NYG_DAL,Selected-week share was 43.7 points above the prior 1-game baseline.
2025,2,Opportunity Gained,00-0036893,Najee Harris,LAC,RB,rb_opportunity_share,RB opportunity share,Handled 10 of 20 team RB opportunities.,10,20,0.5,2,19,0.10526315789473684,0.39473684210526316,10,20,0.5,0,0.0,48.0,4.8,3,"early downs, passing downs, red zone",1,Selected-week normal-game share materially exceeded the prior qualifying-game baseline.,Opportunity Gained,False,/players?player=00-0036893&season=2025&family=rb_opportunity_share&week=2,/teams?team=LAC&season=2025&family=rb_opportunity_share&week=2,/games?season=2025&week=2&game=2025_02_LAC_LV,Selected-week share was 39.5 points above the prior 1-game baseline.
2025,2,Opportunity Gained,00-0035676,A.J. Brown,PHI,WR,wr_target_share,WR target share,Handled 8 of 21 team targets.,8,21,0.3809523809523809,1,20,0.05,0.3309523809523809,8,21,0.3809523809523809,0,0.0,27.0,3.375,2,"early downs, passing downs",1,Selected-week normal-game share materially exceeded the prior qualifying-game baseline.,Opportunity Gained,False,/players?player=00-0035676&season=2025&family=wr_target_share&week=2,/teams?team=PHI&season=2025&family=wr_target_share&week=2,/games?season=2025&week=2&game=2025_02_PHI_KC,Selected-week share was 33.1 points above the prior 1-game baseline.
2025,2,"Strong Opportunity, Weak Production",00-0037197,Isiah Pacheco,KC,RB,rb_carry_share,RB carry share,Produced 22 yards while handling 10 of 26 team carries.,10,26,0.3846153846153846,5,17,0.29411764705882354,0.09049773755656104,10,26,0.3846153846153846,0,0.0,22.0,2.2,3,"early downs, passing downs, red zone",1,The player owned a meaningful share across multiple contexts while producing few yards per opportunity.,"Strong Opportunity, Weak Production",False,/players?player=00-0037197&season=2025&family=rb_carry_share&week=2,/teams?team=KC&season=2025&family=rb_carry_share&week=2,/games?season=2025&week=2&game=2025_02_PHI_KC,"The player averaged 2.2 yards per opportunity across early downs, passing downs, red zone."
2025,2,"Strong Opportunity, Weak Production",00-0039165,Zach Charbonnet,SEA,RB,rb_carry_share,RB carry share,Produced 10 yards while handling 15 of 29 team carries.,15,29,0.5172413793103449,12,26,0.46153846153846156,0.0557029177718833,15,29,0.5172413793103449,0,0.0,10.0,0.6666666666666666,3,"early downs, passing downs, red zone",1,The player owned a meaningful share across multiple contexts while producing few yards per opportunity.,"Strong Opportunity, Weak Production",False,/players?player=00-0039165&season=2025&family=rb_carry_share&week=2,/teams?team=SEA&season=2025&family=rb_carry_share&week=2,/games?season=2025&week=2&game=2025_02_SEA_PIT,"The player averaged 0.7 yards per opportunity across early downs, passing downs, red zone."
2025,2,"Strong Opportunity, Weak Production",00-0038597,Chase Brown,CIN,RB,rb_carry_share,RB carry share,Produced 47 yards while handling 16 of 17 team carries.,16,17,0.9411764705882352,21,23,0.9130434782608695,0.028132992327365658,16,17,0.9411764705882352,0,0.0,47.0,2.9375,4,"early downs, inside five, red zone, passing downs",1,The player owned a meaningful share across multiple contexts while producing few yards per opportunity.,"Strong Opportunity, Weak Production",False,/players?player=00-0038597&season=2025&family=rb_carry_share&week=2,/teams?team=CIN&season=2025&family=rb_carry_share&week=2,/games?season=2025&week=2&game=2025_02_JAX_CIN,"The player averaged 2.9 yards per opportunity across early downs, inside five, red zone, passing downs."
2025,5,Box Score Overstated the Role,00-0034960,Jakobi Meyers,LV,WR,wr_target_share,WR target share,5 of 6 opportunities occurred outside normal-game context.,1,21,0.0476190476190476,31,110,0.2818181818181818,-0.23419913419913418,6,36,0.1666666666666666,5,0.119047619047619,32.0,32.0,3,"early downs, passing downs, red zone",4,All-play usage materially exceeded normal-game usage because opportunities occurred outside normal context.,Box Score Overstated the Role | Opportunity Lost,False,/players?player=00-0034960&season=2025&family=wr_target_share&week=5,/teams?team=LV&season=2025&family=wr_target_share&week=5,/games?season=2025&week=5&game=2025_05_LV_IND,All-play share was 11.9 points above normal-game share.
2025,5,Opportunity Lost,00-0033906,Alvin Kamara,NO,RB,rb_carry_share,RB carry share,Carry share fell from 59.2% to 27.6%.,8,29,0.2758620689655172,61,103,0.5922330097087378,-0.31637094074322064,8,29,0.2758620689655172,0,0.0,27.0,3.375,2,"early downs, red zone",4,Selected-week normal-game share was materially below a meaningful prior role.,Opportunity Lost,False,/players?player=00-0033906&season=2025&family=rb_carry_share&week=5,/teams?team=NO&season=2025&family=rb_carry_share&week=5,/games?season=2025&week=5&game=2025_05_NYG_NO,Selected-week share was 31.6 points below the prior 4-game baseline.
2025,5,Opportunity Lost,00-0034844,Saquon Barkley,PHI,RB,rb_opportunity_share,RB opportunity share,RB opportunity share fell from 87.7% to 64.3%.,9,14,0.6428571428571429,93,106,0.8773584905660378,-0.23450134770889486,9,14,0.6428571428571429,0,0.0,88.0,9.777777777777779,1,early downs,4,Selected-week normal-game share was materially below a meaningful prior role.,Opportunity Lost,False,/players?player=00-0034844&season=2025&family=rb_opportunity_share&week=5,/teams?team=PHI&season=2025&family=rb_opportunity_share&week=5,/games?season=2025&week=5&game=2025_05_DEN_PHI,Selected-week share was 23.5 points below the prior 4-game baseline.
